Status.state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado,Municipio.NomeMunicipio
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146366,10,71842008,64300,RUA FLORIANO PEIXOTO    358,,AC,1200401,5M00G9W,WCDMA,,,874.5,829.5,40,FB,,NA,760,5200301293,11.2,23,65,0,X,35,19980701882,40,-9.972025,-67.813556,G,2023-08-05,2000-11-27,,4d5c019f58c7e,2024-07-15,,,Rio Branco
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,10,59072012,64300,RUA FLORIANO PEIXOTO    358    AEROPORTO VELHO,,AC,1200401,20M0G7W,LTE,,,,,322.0,FB,,NA,396,11021100324,16.4,28.0,74.60,.00,X,35.0,24251201882,30000,-9.97194,-67.81333,G,2020-08-25,2000-11-27,,4d5c019f58c84,2027-10-18,,,Rio Branco
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146366,10,71842008,64300,RUA FLORIANO PEIXOTO    358,,AC,1200401,200KG7W,GSM,,,874.5,829.5,40,FB,,NA,760,7690501705,14.3,26,82,0,X,35,910502519,32.5,-9.972025,-67.813556,G,2023-08-05,2000-11-27,,4d5c019f58c85,2024-07-15,,,Rio Branco
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146366,10,71842008,64300,RUA FLORIANO PEIXOTO    358,,AC,1200401,200KG7W,GSM,,,874.5,829.5,180,FB,,NA,760,7690501705,14.3,26,82,0,X,35,910502519,32.5,-9.972025,-67.813556,G,2023-08-05,2000-11-27,,4d5c019f58c86,2024-07-15,,,Rio Branco
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146366,10,71842008,64300,RUA FLORIANO PEIXOTO    358,,AC,1200401,5M00G9W,WCDMA,,,874.5,829.5,180,FB,,NA,760,5200301293,11.2,23,65,0,X,35,19980701882,40,-9.972025,-67.813556,G,2023-08-05,2000-11-27,,4d5c019f58c87,2024-07-15,,,Rio Branco
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,10,59072012,64300,RUA FLORIANO PEIXOTO    358    AEROPORTO VELHO,,AC,1200401,20M0G7W,LTE,,,,,22.0,FB,,NA,396,11021100324,16.4,28.0,74.60,.00,X,35.0,24251201882,30000,-9.97194,-67.81333,G,2020-08-25,2000-11-27,,4d5c019f58c8d,2027-10-18,,,Rio Branco
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146366,10,59072012,64300,RUA FLORIANO PEIXOTO    358    AEROPORTO VELHO,,AC,1200401,20M0G7W,LTE,,,,,232.0,FB,,NA,396,11021100324,16.4,28.0,74.60,.00,X,35.0,24251201882,30000,-9.97194,-67.81333,G,2020-08-25,2000-11-27,,4d5c019f58c8e,2027-10-18,,,Rio Branco
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146366,10,71842008,64300,RUA FLORIANO PEIXOTO    358,,AC,1200401,200KG7W,GSM,,,874.5,829.5,280,FB,,NA,760,7690501705,14.3,26,82,0,X,35,910502519,32.5,-9.972025,-67.813556,G,2023-08-05,2000-11-27,,4d5c019f58c8f,2024-07-15,,,Rio Branco
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146366,10,71842008,64300,RUA FLORIANO PEIXOTO    358,,AC,1200401,5M00G9W,WCDMA,,,874.5,829.5,280,FB,,NA,760,5200301293,11.2,23,65,0,X,35,19980701882,40,-9.972025,-67.813556,G,2023-08-05,2000-11-27,,4d5c019f58c90,2024-07-15,,,Rio Branco
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146366,10,59072012,1064380,RUA APOLONIO SALES,,AC,1200401,20M0G7W,LTE,,,2680,2560,320,FB,,NA,760,116642103257,25,28,58,0,X,40,58221803257,40,-9.938297,-67.825814,G,2024-09-20,2000-02-28,,4d5c019f5b036,2027-10-18,,,Rio Branco
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146366,10,59072012,1064380,RUA APOLONIO SALES,,AC,1200401,20M0G7W,LTE,,,2680,2560,55,FB,,NA,760,116642103257,25,28,58,0,X,40,58221803257,40,-9.938297,-67.825814,G,2024-09-20,2000-02-28,,4d5c019f5b042,2027-10-18,,,Rio Branco
LIC-LIC-01,CLARO S.A.,50409889580,10,169212022,5180368,R PERNAMBUCO,"LOTE 422, EM FRENTE AO NÚMERO 247",AC,1200401,200KG7W,GSM,,,1822.5,1727.5,0,FB,Greenfield,NA,760,24731703257,13.86,25,68.89,-2,X,52,23491603257,40,-9.97103,-67.8166,G,2023-11-06,2003-03-06,,4d5c019f68947,2032-12-22,,,Rio Branco
LIC-LIC-01,CLARO S.A.,50409889580,10,37812011,5180368,R PERNAMBUCO,"LOTE 422, EM FRENTE AO NÚMERO 247",AC,1200401,5M00G7W,WCDMA,,,885,840,0,FB,Greenfield,NA,760,24731703257,14.83,22,70.26,-2,X,52,11631703257,60,-9.97103,-67.8166,G,2023-11-06,2003-03-06,,4d5c019f6896a,2032-12-22,,,Rio Branco
LIC-LIC-01,CLARO S.A.,50409889580,10,37812011,5180368,R PERNAMBUCO,"LOTE 422, EM FRENTE AO NÚMERO 247",AC,1200401,5M00G7W,WCDMA,,,885,840,130,FB,Greenfield,NA,760,24731703257,14.83,22,70.26,-2,X,52,11631703257,60,-9.97103,-67.8166,G,2023-11-06,2003-03-06,,4d5c019f6896b,2032-12-22,,,Rio Branco
LIC-LIC-01,CLARO S.A.,50409889580,10,37812011,5180368,R PERNAMBUCO,"LOTE 422, EM FRENTE AO NÚMERO 247",AC,1200401,5M00G7W,WCDMA,,,885,840,250,FB,Greenfield,NA,760,24731703257,14.83,22,70.26,-2,X,52,11631703257,60,-9.97103,-67.8166,G,2023-11-06,2003-03-06,,4d5c019f6896c,2032-12-22,,,Rio Branco
LIC-LIC-01,CLARO S.A.,50409889580,10,37812011,5180368,R PERNAMBUCO,"LOTE 422, EM FRENTE AO NÚMERO 247",AC,1200401,200KG7W,GSM,,,1875,1780,0,FB,Greenfield,NA,760,24731703257,13.86,25,68.89,-2,X,52,23491603257,40,-9.97103,-67.8166,G,2023-11-06,2003-03-06,,4d5c019f6896e,2032-12-22,,,Rio Branco
LIC-LIC-01,CLARO S.A.,50409889580,10,169212022,5180376,R DEZESSEIS,SETOR 10 - LOTES 05 E 06 - ZONA B - PRIMEIRO DISTRITO DE RIO BRANCO,AC,1200401,200KG7W,GSM,,,1822.5,1727.5,250,FB,Greenfield,NA,760,21221203701,13.82,28,71.92,-1,X,73,23491603257,40,-9.93984,-67.8724,G,2023-11-21,2003-03-06,,4d5c019f68996,2032-12-22,,,Rio Branco
LIC-LIC-01,CLARO S.A.,50409889580,10,37812011,5180376,R DEZESSEIS,SETOR 10 - LOTES 05 E 06 - ZONA B - PRIMEIRO DISTRITO DE RIO BRANCO,AC,1200401,200KG7W,GSM,,,1875,1780,250,FB,Greenfield,NA,760,21221203701,13.82,28,71.92,-1,X,73,23491603257,40,-9.93984,-67.8724,G,2023-11-21,2003-03-06,,4d5c019f68997,2027-07-02,,,Rio Branco
LIC-LIC-01,CLARO S.A.,50409889580,10,169212022,5180376,R DEZESSEIS,SETOR 10 - LOTES 05 E 06 - ZONA B - PRIMEIRO DISTRITO DE RIO BRANCO,AC,1200401,200KG7W,GSM,,,1822.5,1727.5,350,FB,Greenfield,NA,760,19221503257,14.53,27,62.03,-1,X,73,23491603257,40,-9.93984,-67.8724,G,2023-11-21,2003-03-06,,4d5c019f68998,2032-12-22,,,Rio Branco
LIC-LIC-01,CLARO S.A.,50409889580,10,37812011,5180376,R DEZESSEIS,SETOR 10 - LOTES 05 E 06 - ZONA B - PRIMEIRO DISTRITO DE RIO BRANCO,AC,1200401,200KG7W,GSM,,,1875,1780,350,FB,Greenfield,NA,760,19221503257,14.53,27,62.03,-1,X,73,23491603257,40,-9.93984,-67.8724,G,2023-11-21,2003-03-06,,4d5c019f68999,2027-07-02,,,Rio Branco
LIC-LIC-01,CLARO S.A.,50409889580,10,169212022,5180376,R DEZESSEIS,SETOR 10 - LOTES 05 E 06 - ZONA B - PRIMEIRO DISTRITO DE RIO BRANCO,AC,1200401,200KG7W,GSM,,,1822.5,1727.5,140,FB,Greenfield,NA,760,21221203701,13.82,28,71.92,-1,X,73,23491603257,40,-9.93984,-67.8724,G,2023-11-21,2003-03-06,,4d5c019f6899a,2032-12-22,,,Rio Branco
LIC-LIC-01,CLARO S.A.,50409889580,10,37812011,5180376,R DEZESSEIS,SETOR 10 - LOTES 05 E 06 - ZONA B - PRIMEIRO DISTRITO DE RIO BRANCO,AC,1200401,200KG7W,GSM,,,1875,1780,140,FB,Greenfield,NA,760,21221203701,13.82,28,71.92,-1,X,73,23491603257,40,-9.93984,-67.8724,G,2023-11-21,2003-03-06,,4d5c019f6899e,2027-07-02,,,Rio Branco
LIC-LIC-01,CLARO S.A.,50409889580,10,37812011,5180376,R DEZESSEIS,SETOR 10 - LOTES 05 E 06 - ZONA B - PRIMEIRO DISTRITO DE RIO BRANCO,AC,1200401,200KG7W,GSM,,,953.75,908.75,350,FB,Greenfield,NA,760,19221503257,14.43,24,69.68,-1,X,73,32101503257,40,-9.93984,-67.8724,G,2023-11-21,2003-03-06,,4d5c019f6899f,2027-07-02,,,Rio Branco
