Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Acrelândia;1200013;acrelandense;OLAVO FRANCELINO DE REZENDE;1811.613;14021;7.74;95.1;0.604;14.63;80504656.29;73988898.91;25362.56
Assis Brasil;1200054;assisbrasiliense;JERRY CORREIA MARINHO;4979.073;8100;1.63;85.1;0.588;25.53;55106661.66;50460488.74;17507.67
Brasiléia;1200104;brasileense;FERNANDA DE SOUZA HASSEM CESAR;3928.174;26000;6.62;90.2;0.614;29.52;126738422.93;123758677;25278.78
Bujari;1200138;bujariense;JOÃO EDVALDO TELES DE LIMA;3034.869;12917;4.26;91.1;0.589;8.7;53986967.25;46701553.89;28455.38
Capixaba;1200179;capixabense;MANOEL MAIA BEZERRA;1705.824;10392;6.09;92.6;0.575;10.99;38527096.68;32360908.28;41722.55
Cruzeiro do Sul;1200203;cruzeirense;JOSÉ DE SOUZA LIMA;8783.47;91888;10.46;94.9;0.664;14.6;370660270.54;353078017.6;22934.82
Epitaciolândia;1200252;epitaciolandense;SERGIO LOPES DE SOUZA;1652.674;18757;11.35;93.7;0.653;7.19;87724504.71;80051618.82;33960.77
Feijó;1200302;feijoense;KIEFER ROBERTO CAVALCANTE LIMA;27976.874;35426;1.27;82.9;0.539;22.25;107405484.07;96719649.39;16207.64
Jordão;1200328;jordãoense;FRANCISCO NAUDINO RIBEIRO SOUZA;5357.227;9222;1.72;71.3;0.469;34.78;56861737.85;51812536.5;13209.92
Mâncio Lima;1200336;manciolimense;ISAAC DE SOUZA LIMA;5451.617;19294;3.54;94.9;0.625;21.21;86319443.46;85169411.06;13704.87
Manoel Urbano;1200344;manoelurbanense;JOSE ALTANIZIO TAUMATURGO SÁ;10630.6;11996;1.13;78;0.551;24.79;57975653.77;54296822.25;19060.27
Marechal Thaumaturgo;1200351;thaumaturguense;ISAAC DA SILVA PIYAKO;8190.953;17093;2.09;90.8;0.501;8.15;89556541.54;88618165.07;13020.98
Plácido de Castro;1200385;placidiano;CAMILO DA SILVA;1952.555;16560;8.48;93.6;0.622;3.91;78011962.38;76848341.56;29854.1
Porto Walter;1200393;portowaltense;SEBASTIAO NOGUEIRA DE ANDRADE;6446.385;10735;1.67;93.3;0.532;22.56;74267470.53;70608465.62;12845.86
Rio Branco;1200401;riobranquense;SEBASTIÃO BOCALOM RODRIGUES;8835.154;364756;41.28;95.1;0.727;14.94;1906891077.11;1877698250;26119.02
Rodrigues Alves;1200427;rodriguesalvense;JAILSON PONTES DE AMORIM;3076.342;14938;4.86;94.6;0.567;6.23;106180812.2;97129008.43;12933.1
Santa Rosa do Purus;1200435;santarosense;JOSÉ ALTAMIR TAUMATURGO DE SÁ;6155.858;6723;1.09;63.8;0.517;46.3;42737758.19;41917590.09;15747.15
Senador Guiomard;1200450;guiomaense;ROSANA PEREIRA DA SILVA;2320.169;21454;9.25;95.6;0.64;14.53;96251990.78;83841311.73;33253.93
Sena Madureira;1200500;senamadureirense;OSMAR SERAFIM DE ANDRADE;23759.512;41343;1.74;85.4;0.603;17.04;182768374.35;189516424.6;15860.21
Tarauacá;1200609;tarauacaense;MARIA LUCINÉIA NERY DE LIMA MENEZES;20169.485;43467;2.16;85.6;0.539;22.06;168557808.73;142356461.7;16279.09
Xapuri;1200708;xapuriense;FRANCISCO UBIRACY MACHADO DE VASCONCELOS;5350.586;18243;3.41;87.7;0.599;6.37;70007752.9;63483715.93;22902.48
Porto Acre;1200807;portoacrense;BENEDITO CAVALCANTE DAMASCENO;2604.417;16693;6.41;90.4;0.576;29.76;71075605.31;66500573.11;24623.3
