
Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Alvarães;1300029;alvarãense;LUCENILDO DE SOUZA MACEDO;5923.461;15866;2.68;75.3;0.527;18.18;126092009.24;120203719.4;13255.22
Amaturá;1300060;amaturaense;JOSE AUGUSTO BARROZO EUFRASIO;4754.109;10819;2.28;86.3;0.56;19.31;67775575.93;61081705.27;9960.76
Anamã;1300086;anamãense;FRANCISCO NUNES BASTOS;2446.121;9962;4.07;93.6;0.594;16.67;70502744.3;67132685.85;9697.69
Anori;1300102;anoriense;REGINALDO NAZARE DA COSTA;6036.38;17194;2.85;84.9;0.561;8.4;104265369.45;91195024.71;11324.94
Apuí;1300144;apuiense;MARCOS ANTONIO LISE;54240.545;20647;0.38;93.4;0.637;14.76;97176804.46;88420595.83;13096.89
Atalaia do Norte;1300201;atalaiense;DENIS LINDER ROJAS DE PAIVA;76507.617;15314;0.2;65.5;0.45;21.39;100213161.44;92454763.52;8862.72
Autazes;1300300;autazense;ANDRESON ADRIANO OLIVEIRA CAVALCANTE;7652.852;41564;5.43;94.6;0.577;21.03;246188080.9;183475186.9;12348.26
Barcelos;1300409;barcelense;EDSON DE PAULA RODRIGUES MENDES;122461.086;18834;0.15;64.7;0.5;17.95;104151475.62;92145921.82;8844.22
Barreirinha;1300508;barreirinhense;GLENIO JOSE MARQUES SEIXAS;5751.765;31051;5.4;97.5;0.574;9.82;172600903.88;161670844.6;10476.91
Benjamin Constant;1300607;benjaminconstantense;DAVID NUNES BEMERGUY;8705.441;37648;4.32;89.6;0.574;21.9;213308092.27;197733326;8664.03
Beruri;1300631;beruriense;MARIA LUCIR DOS SANTOS DE OLIVEIRA;17472.779;20718;1.19;90.4;0.506;19.72;113897313.08;106532016.7;10333.67
Boa Vista do Ramos;1300680;boavistense;ERALDO TRINDADE DA SILVA;2589.407;23785;9.19;95.9;0.565;7.27;104183199.34;102810974.3;9102.4
Boca do Acre;1300706;bocacrense;JOSE MARIA SILVA DA CRUZ;21938.583;35447;1.62;88;0.588;13.29;141575307.83;124720386;14668.9
Borba;1300805;borbense;SIMAO PEIXOTO LIMA;44236.184;33080;0.75;91.2;0.56;14.61;164038096.33;140540795.2;9500.35
Caapiranga;1300839;caapiranguense;FRANCISCO ANDRADE BRAZ;9455.539;13469;1.42;89.4;0.569;13.82;92762308.12;87497718.28;13194.94
Canutama;1300904;canutamense;JOSE ROBERTO TORRES DE PONTES;33642.732;16869;0.5;87.6;0.53;17.14;84482895.91;76310617.86;9656.23
Carauari;1301001;carauariense;BRUNO LUIS LITAIFF RAMALHO;25778.658;28742;1.11;90.2;0.549;13.91;151467139.31;122607610.5;12906.32
Careiro;1301100;careirense;NATHAN MACENA DE SOUZA;6096.212;30792;5.05;88.6;0.557;14.6;252444615.3;241276087.1;10180.17
Careiro da Várzea;1301159;careirensedavárzea;PEDRO DUARTE GUEDES;2627.474;19637;7.47;94.8;0.568;;111850731.14;102476015.7;13140.09
Coari;1301209;coariense;ADAIL JOSE FIGUEIREDO PINHEIRO;57970.768;70616;1.22;86.8;0.586;19.53;555708569.02;499088743.9;38982.37
Codajás;1301308;codajaense;ANTONIO FERREIRA DOS SANTOS;18700.713;23549;1.26;83.7;0.563;19.69;122067584.8;115276276.9;17917.73
Eirunepé;1301407;eirunepeense;RAYLAN BARROSO DE ALENCAR;14966.242;33170;2.22;90.7;0.563;36;191901238.95;182917484.8;15726.02
Envira;1301506;envirense;PAULO RUAN PORTELA MATTOS;7505.794;17186;2.29;83.9;0.509;32.07;94870971.82;84406749.88;10387.83
Fonte Boa;1301605;fonteboense;GILBERTO FERREIRA LISBOA;12155.427;25871;2.13;84.8;0.53;12.66;145519370.27;139519074.1;13576.3
Guajará;1301654;guajaraense;ORDEAN GONZAGA DA SILVA;7583.534;13815;1.82;93.1;0.532;13.99;81274607.76;77792281.04;10313.51
Humaitá;1301704;humaitaense;JOSE CIDENEI LOBO DO NASCIMENTO;33111.129;57473;1.74;90.4;0.605;14.04;231236140.47;235214380.8;15039.21
Ipixuna;1301803;ipixunense;MARIA DO SOCORRO DE PAULA OLIVEIRA;12109.779;24311;2.01;65.4;0.481;7.59;120744349.13;103670257.6;6945.94
Iranduba;1301852;irandubense;JOSE AUGUSTO FERRAZ DE LIMA;2216.817;61163;27.59;93.4;0.613;13.07;256973291.93;251140609.6;20150.9
Itacoatiara;1301902;itacoatiarense;MÁRIO JORGE BOUEZ ABRAHIM;8891.906;103598;11.65;95.1;0.644;11.73;450752552.64;423913177.1;22590.61
Itamarati;1301951;itamaratiense;JOÃO MEDEIROS CAMPELO;25260.429;10937;0.43;81;0.477;19.23;92212191.73;85682154.48;17438.6
Itapiranga;1302009;itapiranguense;DENISE DE FARIAS LIMA;4335.075;10162;2.34;95.1;0.654;5.65;75137384.49;65271893.57;16377.7
Japurá;1302108;japuraense;VANILSO MONTEIRO DA SILVA;55827.203;8858;0.16;80.8;0.522;17.34;66753756.47;70448706.4;48893.98
Juruá;1302207;juruaense;JOSE MARIA RODRIGUES DA ROCHA JUNIOR;19442.548;10742;0.55;90.1;0.522;9.52;96826549.4;79003813.8;8910.85
Jutaí;1302306;jutaiense;PEDRO MACARIO BARBOZA;69457.415;25172;0.36;88.4;0.516;15.71;146512991.01;146269078.1;19787.31
Lábrea;1302405;labrense;GEAN CAMPOS DE BARROS;68262.68;45448;0.67;85.7;0.531;19.58;209105946.96;190476332.7;13111.01
Manacapuru;1302504;manacapuruense;BETANAEL DA SILVA DANGELO;7336.579;101883;13.89;92.3;0.614;14.33;561953084.91;529315707.1;15506.76
