

Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2022;Totaldespesasbrutasempenhadasreais2022;PIBpercapitareais2021
Abaíra;2900108;abairense;EDVAL LUZ SILVA;538.677;7301;13.55;97.2;0.603;18.52;32237641.59;35111367.37;8086.04
Abaré;2900207;abareense;FERNANDO JOSE TEIXEIRA TOLENTINO;1604.923;17639;10.99;96.5;0.575;7.17;87563602.75;79977884.76;10127.1
Acajutiba;2900306;acajutibense;ALEXSANDRO MENEZES DE FREITAS;181.475;13795;76.02;98;0.582;12.82;83405745.46;79390929.67;9499.76
Adustina;2900355;adustinense;PAULO SERGIO OLIVEIRA DOS SANTOS;629.099;14201;22.57;98.1;0.546;20.55;78434504.29;73643969.42;13986.28
Água Fria;2900405;águafriense;RENAN ARAUJO BARROS;742.775;14497;19.52;97;0.55;13.79;73397340.01;88594859.92;9269.33
Érico Cardoso;2900504;éricocardosense;ERALDO FÉLIX DA SILVA;735.249;10604;14.42;98.8;0.584;16.95;53133336.7;50328616.35;7425.41
Aiquara;2900603;aiquarense;DELMAR RIBEIRO;167.877;4447;26.49;98.4;0.583;;45623931.03;43534669.81;12244.83
Alagoinhas;2900702;alagoinhense;JOAQUIM BELARMINO CARDOSO NETO;707.835;151055;213.4;97.4;0.683;12.79;664260801.24;631717683.9;29621.32
Alcobaça;2900801;alcobacense;GIVALDO MUNIZ;1477.929;24530;16.6;96.5;0.608;15.38;135266438.23;142880890;15437.27
Almadina;2900900;almadinense;MILTON SILVA CERQUEIRA;245.236;5218;21.28;95.3;0.563;23.26;32229647.81;29587006.69;11924.08
Amargosa;2901007;amargosense;JÚLIO PINHEIRO DOS SANTOS JÚNIOR;431.655;36521;84.61;96.8;0.625;16.13;190276474.67;168053576.8;12327.08
Amélia Rodrigues;2901106;ameliense;JOÃO MANOEL BAHIA MENEZES;166.872;24138;144.65;99.2;0.666;6.1;108377590.27;102966520.8;17505.45
América Dourada;2901155;américodouradense;JOELSON CARDOSO DO ROSÁRIO;822.373;15137;18.41;96.6;0.561;;79102581.84;78796917.45;10440.54
Anagé;2901205;anageense;ROGERIO BONFIM SOARES;1899.683;25438;13.39;96;0.54;15.54;86891843.4;88578085.1;10592.91
Andaraí;2901304;andaraiense;WILSON PAES CARDOSO;1590.316;13080;8.22;97.8;0.555;6.58;74092334.41;69360658.94;10254.35
Andorinha;2901353;andorinhense;RENATO BRANDÃO DE OLIVEIRA;1362.386;15012;11.02;98;0.588;11.98;108057843.61;101142338.3;15500.25
Angical;2901403;angicalense;ANTONIO FRANCISCO DOS SANTOS NETO;1530.05;13732;8.97;96.9;0.625;37.23;66509756.58;61752720.45;13699.3
Anguera;2901502;anguerense;MAURO SELMO OLIVEIRA VIEIRA;187.84;11031;58.73;98.2;0.589;;58873240.51;53339705.23;6927.47
Antas;2901601;antense;MANOEL SIDONIO NASCIMENTO NILO;319.745;14206;44.43;94.3;0.592;7.3;96411774.67;86953768.11;8179.38
Antônio Cardoso;2901700;cardosense;MARIA DE LOURDES CARVALHO MOURA BASTOS;293.53;11146;37.97;95.8;0.561;17.86;54328608.34;51157756.39;10644.2
Antônio Gonçalves;2901809;antôniogonçalvense;DJALMA DE FREITAS CARDOSO NETO;345.284;10862;31.46;98.4;0.598;20.83;60949081.57;53828781.31;6917.74
Aporá;2901908;aporense;CARINE DANTAS DE MENEZES NEGREIROS;479.262;15922;33.22;97.6;0.548;11.3;79635652.5;77698758;8332.08
Apuarema;2901957;apuaremense;JORGE ROGERIO COSTA SOUZA;150.83;6913;45.83;95.9;0.552;27.78;37849353.32;38785003.17;10214.51
Aracatu;2902005;aracatuense;BRAULINA LIMA SILVA;1489.803;13936;9.35;97.7;0.581;17.54;70530574.93;66381596.36;11245.32
Araçás;2902054;araçaense;AGAMENON OLIVEIRA COELHO;474.577;11557;24.35;98.1;0.57;34.48;80586573.78;83479592.61;24447.56
Araci;2902104;araciense;MARIA BETIVANIA LIMA DA SILVA;1496.245;48294;32.28;97.4;0.534;15.53;253502295.71;252315817.7;8950.31
Aramari;2902203;aramariense;FIDEL CARLOS SOUZA DANTAS;368.947;9833;26.65;96.3;0.588;11.36;51526836.06;46634677.09;9008.7
Arataca;2902252;arataquense;FERNANDO MANSUR GONZAGA;435.962;10191;23.38;95.6;0.559;12.99;61145526.8;60057926.34;9308.59
Aratuípe;2902302;aratuipense;ANTONIO MARCOS ARAUJO DE SOUZA;174.012;8677;49.86;98.4;0.575;9.01;47294402.32;42888776.84;9038.92
Aurelino Leal;2902401;aurelinense;RODRIGO CALAZANS DE ANDRADE;445.394;11179;25.1;95.5;0.568;56.5;70869725.32;71726699.35;12365.87
Baianópolis;2902500;baianopolense;JANDIRA SOARES SILVA XAVIER;3320.723;13614;4.1;98.7;0.589;12.66;79980048.36;73582237.51;18872.77
Baixa Grande;2902609;baixagrandense;GILVAN RIOS DA SILVA;967.514;18220;18.83;97.2;0.585;13.7;82668628.92;78137190.3;9527.52
Banzaê;2902658;banzaêense;JAILMA DANTAS GAMA ALVES;409.507;11958;29.2;98.1;0.579;8.4;93084901.05;83179972.5;8572.74
Barra;2902708;barrense;ARTUR SILVA FILHO;11428.112;51092;4.47;97;0.557;23.31;190704876.3;198848474.7;7941.89
Barra da Estiva;2902807;barrestivense;JOAO MACHADO RIBEIRO;1657.413;26026;15.7;96.8;0.575;5.57;102037728.35;93872997.06;18698.56
Barra do Choça;2902906;barrachocense;OBERDAM ROCHA DIAS;765.936;36539;47.71;96.9;0.551;20.18;163664432.65;149980554.6;18602.26
Barra do Mendes;2903003;barramendense;ANTONIO BARRETO DE OLIVEIRA;1436.298;13836;9.63;97.5;0.63;5.88;57221921.89;60683464.74;8829.23
Barra do Rocha;2903102;barrarochense;JOSÉ LUIZ FRANCO RAMOS COSTA;214.411;5775;26.93;95.7;0.577;;52572707.45;50367801.85;14125.28
Barreiras;2903201;barreirense;JOÃO BARBOSA DE SOUZA SOBRINHO;8051.274;159734;19.84;97.5;0.721;12.95;897856861.63;841847092.6;44221.63
Barro Alto;2903235;barroaltino;ORLANDO AMORIM SANTOS;414.51;13453;32.46;98.4;0.607;7.09;57975035.53;53036228.28;7440.78
Barrocas;2903276;barroquense;JOSÉ JAILSON LIMA FERREIRA;207.297;15203;73.34;98.7;0.61;30.15;92697750.63;85830026.64;21334.14
Barro Preto;2903300;barropretense;JURACI DIAS DE JESUS;201.585;5833;28.94;96.2;0.602;34.48;48592594.66;45986007.78;15044.1
Belmonte;2903409;belmontense;CARLOS ALBERTO REZENDE GAMA;1939.447;20121;10.37;96.5;0.598;13.22;99326272.03;93923801.28;15875.7
Belo Campo;2903508;belocampense;JOSÉ HENRIQUE SILVA TIGRE;772.756;18412;23.83;95.2;0.575;12.35;94007044.42;100366960.7;9968.92
Biritinga;2903607;biritinguense;GILMARIO SOUZA DE OLIVEIRA;553.762;15146;27.35;98;0.538;22.35;101053376.72;93560021.52;9096.16
Boa Nova;2903706;boanovense;ADONIAS DA ROCHA PIRES DE ALMEIDA;848.857;13690;16.13;97.2;0.567;7.19;64676862.84;57878621.13;9270.48
Boa Vista do Tupim;2903805;tupinense;HELDER LOPES CAMPOS;2972.109;16873;5.68;96.8;0.551;5.38;83459655.03;77651502.51;8399.59
Bom Jesus da Lapa;2903904;lapense;FABIO NUNES DIAS;4115.51;65550;15.93;95.7;0.633;13.44;309215945.22;304959101.9;19356.52
Bom Jesus da Serra;2903953;bomjesuense;JORNANDO VILASBOAS ALVES;467.909;9730;20.79;98.3;0.546;;43754276.35;46791662.37;7162.09
Boninal;2904001;boninalense;CELESTE AUGUSTA ARAUJO PAIVA;896.857;13622;15.19;96.3;0.612;43.48;65602591.09;57850833.94;8127.31
Bonito;2904050;bonitense;REINAN CEDRO DE OLIVEIRA;791.276;15844;20.02;97.6;0.561;13.95;92308969.34;84848138.89;15926.9
Boquira;2904100;boquirense;LUCIANO DE OLIVEIRA E SILVA;1426.233;19322;13.55;98.8;0.603;13.57;85175016.21;84698668.52;8800.66
Botuporã;2904209;botuporãense;EDIMILSON ANTONIO SARAIVA;627.612;11024;17.56;98.1;0.575;7.81;57729344.19;56663805.69;10949.08
Brejões;2904308;brejoense;ALESSANDRO RODRIGUES BRANDAO CORREIA;518.566;12943;24.96;97.9;0.597;30.53;70153287.58;66129680.52;10196.49
Brejolândia;2904407;brejolandense;EDEZIO NUNES BASTOS;2247.208;9108;4.05;98.4;0.592;22.22;49363601.79;44935024.38;11827.72
Brotas de Macaúbas;2904506;brotense;ANTONIO KLEBER RIBEIRO;2520.817;11765;4.67;97.6;0.57;9.17;61124813.39;57824627.77;9019.03
Brumado;2904605;brumadense;EDUARDO LIMA VASCONCELOS;2207.612;70510;31.94;96.8;0.656;7.84;326221018.66;338979262.5;26432.55
Buerarema;2904704;bueraremense;VINÍCIUS IBRANN DANTAS ANDRADE OLIVEIRA;219.487;14804;67.45;91.5;0.613;14.93;69987669.82;68702369.31;11436.46
