
Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarizaçã 6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Abaiara;2300101;abaiarense;AFONSO TAVARES LEITE;180.833;10038;55.51;96.7;0.628;6.71;59768531.11;54988291.19;9859.67
Acarape;2300150;acarapense;FRANCISCO EDILBERTO BESERRA BARROSO;130.002;14027;107.9;96.8;0.606;10.87;71665247.15;69187520.62;11888.66
Acaraú;2300200;acarauense;ANA FLÁVIA RIBEIRO MONTEIRO;842.471;65264;77.47;96.8;0.601;2.06;315118554.15;292378502.3;16051.99
Acopiara;2300309;acopiarense;ANTÔNIO ALMEIDA NETO;2254.279;44962;19.95;97.2;0.595;11.56;190923127.56;182118463.6;10322.74
Aiuaba;2300408;aiuabense;RAMILSON ARAUJO MORAES;2438.563;14076;5.77;97.5;0.569;18.4;83290889.96;74991714.42;8621.26
Alcântaras;2300507;alcantarense;JOAQUIM FREIRE CARVALHO;135.76;11369;83.74;97.7;0.6;;61226904.05;58671506.67;8289.87
Altaneira;2300606;altaneirense;FRANCISCO DARIOMAR RODRIGUES SOARES;72.675;6782;93.32;95.7;0.602;16.67;51295134.13;49420451.79;9680.24
Alto Santo;2300705;altosantense;JOSE JOENI HOLANDA DE ARAUJO;1147.208;14155;12.34;96.5;0.601;5.62;88684025.22;76914498.27;14447.21
Amontada;2300754;amontadense;FLAVIO CESAR BRUNO TEIXEIRA FILHO;1175.044;42156;35.88;97;0.606;9.12;216663029.68;214760946.3;15057.63
Antonina do Norte;2300804;antonino ou antoninense;ANTONIO ROSENO FILHO;259.706;7245;27.9;95.7;0.599;;48518444.83;41450344.7;10666.5
Apuiarés;2300903;apuiareense;IRIS MARIA CRUZ DE LIMA;543.98;12928;23.77;98.6;0.618;14.39;63217066.72;60303265.43;8206.35
Aquiraz;2301000;aquirazense;BRUNO BARROS GONÇALVES;480.236;80645;167.93;96.5;0.641;13.1;474620527.45;481073826.2;47245.19
Aracati;2301109;aracatiense;BISMARCK COSTA LIMA PINHEIRO MAIA;1227.197;75113;61.21;98.5;0.655;12.7;356146820.29;348682108.3;22637.56
Aracoiaba;2301208;aracoiabense;THIAGO CAMPELO NOGUEIRA;643.988;25553;39.68;96.5;0.615;13.29;154393497.68;151436787;10015.85
Ararendá;2301257;ararendaense;ALEXANDRE FELIX DUTRA;342.301;11096;32.42;98.9;0.59;19.61;74501593.65;67591117.75;9722.66
Araripe;2301307;araripense;CICERO FERREIRA DA SILVA;1097.339;19783;18.03;96.3;0.564;10.07;113855494.96;110072870.3;9581.32
Aratuba;2301406;aratubano;JOERLY RODRIGUES VICTOR;119.758;11224;93.72;97;0.622;27.78;71961433.53;65150241.98;12896.07
Arneiroz;2301505;arneirozense;ANTÔNIO MONTEIRO PEDROSA FILHO;1068.437;7429;6.95;97.6;0.618;;43490555.85;39141383.41;8947.96
Assaré;2301604;assareense;JOSE LIBORIO LEITE NETO;1155.124;21697;18.78;96.6;0.6;7.72;127001198.25;116445961.2;10080.26
Aurora;2301703;aurorense;MARCONE TAVARES DE LUNA;885.87;23714;26.77;97.9;0.605;16.61;93646799.29;91139591.43;8824.53
Baixio;2301802;baixiense;JOSÉ HUMBERTO MOURA RAMALHO;145.556;5704;39.19;97.9;0.627;;38992650.64;35647734.56;10690.19
Banabuiú;2301851;banabuiense;FRANCISCO HERMES NOBRE;1080.986;17195;15.91;98;0.606;4.93;106404075.78;97609183.9;14199.25
Barbalha;2301901;barbalhense;GUILHERME SAMPAIO SARAIVA;608.158;75033;123.38;98.3;0.683;12.6;467607661.69;431137277.8;21815.78
Barreira;2301950;barreirense;MARIA AUXILIADORA BEZERRA FECHINE;260.003;22392;86.12;97.8;0.616;7.55;100875197.45;93054083.13;10566.4
Barro;2302008;barrense;JOSÉ MARQUINÉLIO TAVARES;711.346;19381;27.25;97.1;0.599;19.32;78913510.19;74158389.01;10599.42
Barroquinha;2302057;barroquinhense;JAIME VERAS SILVA FILHO;385.583;14567;37.78;97.9;0.571;4.78;79538798.31;72036894.74;8848.31
Baturité;2302107;baturiteense;HERBERLH FREITAS REIS CAVALCANTE MOTA;314.075;35218;112.13;95.9;0.619;13.51;173038242.64;165306745.4;12408.24
Beberibe;2302206;beberibense;MICHELE CARIELLO DE SÁ QUEIROZ ROCHA;1596.751;53114;33.26;98.2;0.638;15.82;226860613.06;232876490.3;19497.48
Bela Cruz;2302305;belacruzense;JOSE OTACILIO DE MORAIS NETO;842.106;32775;38.92;98.9;0.623;11.24;121269558.67;113898778.5;9809.26
Boa Viagem;2302404;boaviagense;JOSE CARNEIRO DANTAS FILHO;2835.037;50411;17.78;97.6;0.598;10.62;307842133.33;280709815.6;9861.34
Brejo Santo;2302503;brejosantense;MARIA GISLAINE SANTANA SAMPAIO LANDIM;654.658;51090;78.04;92.5;0.647;9.93;291536146.51;298891017.3;16277.2
Camocim;2302602;camocimense;MARIA ELIZABETE MAGALHAES;1120.452;62326;55.63;97.8;0.62;11.19;248331971.44;230080369.8;13087.13
Campos Sales;2302701;campossalense;JOÃO LUIZ LIMA SANTOS;1082.582;25135;23.22;98.3;0.63;8.2;105241967.82;102899460.4;10626.15
Canindé;2302800;canindeense;MARIA DO ROSÁRIO ARAÚJO PEDROSA XIMENES;3032.39;74174;24.46;97.5;0.612;6.88;352471914.81;355881171.4;11761.86
Capistrano;2302909;capistranense;ANTONIO SOARES SARAIVA JUNIOR;226.549;17254;76.16;96.3;0.611;17.09;86469972.68;92830476.26;9916.38
Caridade;2303006;caridadense;MARIA SIMONE FERNANDES TAVARES;926.271;16377;17.68;97.3;0.592;15.38;111754603.95;112907234.8;8090.43
Cariré;2303105;carireense;ANTONIO RUFINO MARTINS;755.597;17632;23.34;97.9;0.596;4.81;113508015.1;106397120.3;10455.04
Caririaçu;2303204;caririaçuense;JOSÉ EDMILSON LEITE BARBOSA;634.179;26320;41.5;96.1;0.578;7.83;134850572.61;116035022;9372.28
Cariús;2303303;cariuense;ANTONIO WILAMAR PALACIO DE OLIVEIRA;1036.417;17015;16.42;97.1;0.597;;89177762.83;78326500.04;9678.31
Carnaubal;2303402;carnaubalense;JOSE WELITON SOUZA LEITE;363.22;17210;47.38;97.1;0.593;12.61;88170891.25;83565633.1;9388.72
Cascavel;2303501;cascavelense;TIAGO LUTIANI OLIVEIRA RIBEIRO;838.115;72720;86.77;96.7;0.646;14.64;331518637.01;321502458.4;14777
Catarina;2303600;catarinense;THIAGO PAES DE ANDRADE RODRIGUES;488.153;10243;20.98;94.3;0.618;15.75;69477458.24;60869565.55;7324.19
Catunda;2303659;catundense;RAVENNA FERNANDES GOMES MESQUITA LIMA;784.022;10444;13.32;98.7;0.609;20;67472151.88;63034197.04;10766.7
Caucaia;2303709;caucaiense;VITOR PEREIRA VALIM;1223.246;355679;290.77;96.3;0.682;11.48;1398090524.33;1455076434;28229.51
Cedro;2303808;cedrense;JOÃO BATISTA DINIZ;729.97;22344;30.61;97.5;0.627;26.52;103360315.55;100610200.4;9656.59
Chaval;2303907;chavalense;SEBASTIÃO SOTERO VERAS;237.248;12462;52.53;97.4;0.586;13.25;63723402.2;58179532.11;8413.49
Choró;2303931;choroense;MARCONDES DE HOLANDA JUCÁ;815.268;12113;14.86;97.2;0.585;20.41;79643630.16;72941007.32;13153.2
Chorozinho;2303956;chorozinhense;FRANCISCO DE CASTRO MENEZES JÚNIOR;296.431;20163;68.02;97.4;0.604;31.58;120349351.12;116820814.2;12830.19
Coreaú;2304004;coreauense;JOSE EDEZIO VAZ DE SOUZA;750.332;20953;27.92;97.5;0.61;7.52;120570448.9;110257014.2;9643.95
Crateús;2304103;crateuense;MARCELO FERREIRA MACHADO;2981.459;76390;25.62;97.5;0.644;10.8;317400053.3;322404143.8;12661.3
Crato;2304202;cratense;JOSÉ AILTON DE SOUSA BRASIL;1138.15;131050;115.14;97.8;0.713;15.92;555840172.18;550785013.8;13976.14
Croatá;2304236;croataense;RONILSON FRANCISCO DE OLIVEIRA;696.348;17481;25.1;97.4;0.59;14.29;104754008.38;95994832.8;12331
Cruz;2304251;cruzense;JOÃO MUNIZ SOBRINHO;335.921;29761;88.6;98.5;0.632;18.26;156113493.55;144454268.1;14834.67
Deputado Irapuan Pinheiro;2304269;irapuense;FRANCISCO GILDECARLOS PINHEIRO;471.134;8932;18.96;99.3;0.609;;57505144.94;50576094.93;10402.46
Ereré;2304277;erereense;FRANCISCO OTONI DE QUEIROZ MOURA;362.906;6474;17.84;98;0.61;;42094100.14;43209276.6;11123.49
Eusébio;2304285;eusebiano;ACILON GONÇALVES PINTO JUNIOR;78.818;74170;941.03;98.3;0.701;7.26;622870587.9;625526353.9;65008.58
Farias Brito;2304301;fariasbritense;FRANCISCO AUSTRAGEZIO SALES;530.54;18217;34.34;99.3;0.633;46.15;101013369.22;95284667.9;10462.89
Forquilha;2304350;forquilhense;EDINARDO RODRIGUES FILHO;568.778;24173;42.5;96.4;0.644;;115705676.78;106892602.2;12356.43
Fortaleza;2304400;fortalezense;JOSÉ SARTO NOGUEIRA MOREIRA;312.353;2428708;7775.52;96.1;0.754;11.73;12673913825.45;12288331897;27164.45
Fortim;2304459;fortinense;NASELMO DE SOUSA FERREIRA;285.024;17294;60.68;97.5;0.624;18.69;102287350.51;98020878.77;18625.44
Frecheirinha;2304509;frecheirinhense;HELTON LUIS AGUIAR JUNIOR;210.284;15657;74.46;97.8;0.604;8.62;88314692.44;80823985.78;19437.91
General Sampaio;2304608;sampaiense;FRANCISCO CORDEIRO MOREIRA;230.371;6734;29.23;96.2;0.568;31.25;57059712.43;54497151.06;11196.45
Graça;2304657;gracense;MARIA IRALDICE DE ALCÂNTARA;258.942;13801;53.3;99.1;0.57;6.85;83152733.1;80291681.55;8998.32
Granja;2304707;granjense;JULIANA FROTA LOPES DE ALDIGUERI ARRUDA;2663.174;53344;20.03;94.7;0.559;11.08;266622515.71;248340714.4;8508.38
Granjeiro;2304806;granjeirense;FRANCISCO CLEMENTINO DE ALMEIDA;111.528;4841;43.41;98.8;0.585;;42570249.58;39213742.45;10730.92
Groaíras;2304905;groairense;ADAIL ALBUQUERQUE MELO;155.681;10910;70.08;97.9;0.633;;70162292.44;58126867.91;9872.09
Guaiúba;2304954;guaiubano;IZABELLA MARIA FERNANDES DA SILVA;256.053;24325;95;94.2;0.617;11.63;111652508;102364025.4;8751.83
Guaraciaba do Norte;2305001;guaraciabense;ANTONIO ADAIL MACHADO CASTRO;624.606;42053;67.33;97.7;0.609;8.42;185589111.54;192139693.4;16353.68
Guaramiranga;2305100;guaramiranguense;ROBERLANDIA FERREIRA CASTELO BRANCO;90.817;5654;62.26;97.6;0.637;13.51;55132640.03;45056689.78;15847.79
Hidrolândia;2305209;hidrolandense;IRES MOURA OLIVEIRA;926.592;17855;19.27;98;0.597;17.32;80131315.78;72691493.23;9193.31
Horizonte;2305233;horizontino;MANOEL GOMES DE FARIAS NETO;160.557;74755;465.6;97.1;0.658;13.35;437392229.05;405216013.6;30381.03
Ibaretama;2305266;ibaretamense;ELIRIA MARIA FREITAS DE QUEIROZ;879.255;11956;13.6;95.4;0.577;12.12;67272937.29;63141237.87;9881.62
Ibiapina;2305308;ibiapinense;MARCOS ANTONIO DA SILVA LIMA;414.092;23965;57.87;98.5;0.608;5.21;121491923.44;114932142.5;13850.18
Ibicuitinga;2305332;ibicuitinguense;FRANCISCO JOSÉ MAGALHÃES CARNEIRO;423.856;11611;27.39;97.9;0.606;8.77;89464410.6;78757277.77;9815.44
Icapuí;2305357;icapuiense;RAIMUNDO LACERDA FILHO;421.44;21433;50.86;96.8;0.616;19.9;140570820.8;142325875.9;20364.73
Icó;2305407;icoense;ANA LAÍS PEIXOTO CORREIA NUNES;1865.862;62642;33.57;96.7;0.606;13.72;278334036.49;263440082.3;10797.31
Iguatu;2305506;iguatuense;EDNALDO DE LAVOR COURAS;992.208;98064;98.83;96.8;0.677;11.12;441099828.79;416921562.1;18380.39
