Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Abadia de Goiás;5200050;abadiense;WANDER SARAIVA DE CARVALHO;143.357;19128;133.43;97.2;0.708;7.63;83624420.93;78679879.19;38622
Abadiânia;5200100;abadianense;JOSÉ APARECIDO ALVES DINIZ;1044.555;17232;16.5;94.3;0.689;;92098618.68;84083240.17;21334.94
Acreúna;5200134;acreunense;CLAUDIOMAR CONTIN PORTUGAL;1566.742;21568;13.77;97.1;0.686;25.32;136048865.44;128249974.7;46315.9
Adelândia;5200159;adelandense;EDSON VIEIRA DE PAULA;115.385;2297;19.91;100;0.702;;23591346.41;20844838.31;19400.94
Água Fria de Goiás;5200175;águafriense;JOSÉ EDUARDO OLIVEIRA NETO;2023.636;4954;2.45;97.4;0.671;38.46;36749811.58;46544860.28;91260.12
Água Limpa;5200209;águalimpense;JOSÉ CARLOS GUIMARÃES FILHO;458.836;1858;4.05;97.4;0.722;;28714371.5;24601249.76;35293.9
Águas Lindas de Goiás;5200258;águas lindense;LUCAS DE CARVALHO ANTONIETTI;191.817;225693;1176.61;96.6;0.686;10.88;582401590.5;580827941.3;11052.96
Alexânia;5200308;alexaniense;ALLYSSON SILVA LIMA;846.876;27008;31.89;97;0.682;17.46;176447139.09;162542051.4;39776.23
Aloândia;5200506;aloandense;RENATO BATISTA DA SILVA;102.094;1973;19.33;98.1;0.697;;23470375.43;25092901.63;32251.19
Alto Horizonte;5200555;alto horizontino;LUIZ BORGES DA CRUZ;500.342;6072;12.14;97;0.719;19.8;164304913.71;158009519.3;188378.9
Alto Paraíso de Goiás;5200605;altoparaisense;MARCUS ADILSON RINCO;2594.998;10306;3.97;98;0.713;12.74;64187711.33;59566748.56;38319.04
Alvorada do Norte;5200803;alvoradense;IOLANDA HOLICENI MOREIRA DOS SANTOS;1268.347;8446;6.66;98;0.66;9.62;46831208.16;48089854.87;19317.45
Amaralina;5200829;amaralinense;DASIO MARQUES FERREIRA;1343.742;3268;2.43;92.2;0.609;;31975486.22;28939881.15;28148.86
Americano do Brasil;5200852;americanensedoBrasil;MORETSON DA SILVA BORGES;133.834;5259;39.29;97.4;0.7;;30228940.79;26599319.16;14694.5
Amorinópolis;5200902;amorinopolense;GUSTAVO SILVA DE OLIVEIRA;406.93;3007;7.39;98.4;0.681;;22732581.35;26160647.98;39489.53
Anápolis;5201108;anapolino;ROBERTO NAVES E SIQUEIRA;935.672;398869;426.29;96.3;0.737;15.03;2082795834.96;2054801261;44860.34
Anhanguera;5201207;anhanguerino;MARCELO MARTINS DE PAIVA;55.569;924;16.63;100;0.725;;24408435.54;20127359.86;18523.83
Anicuns;5201306;anicuense;PAULO CESAR JOSE DO NASCIMENTO;976.038;18503;18.96;98.4;0.714;13.64;92897283.29;92872586.56;23178.92
Aparecida de Goiânia;5201405;aparecidense;VILMAR MARIANO DA SILVA;279.954;527796;1885.3;95.3;0.718;15.4;2105755070.81;2180954477;28213.26
Aparecida do Rio Doce;5201454;riodocense;EDY CARLOS GONÇALVES;603.254;2907;4.82;93.3;0.693;;41546934.18;37154294.33;44491.53
Aporé;5201504;aporeano;RENATO SIROTTO CARVALHO;2899.237;4325;1.49;99.1;0.693;14.08;55802058.61;50352391.7;92759.84
Araçu;5201603;araçuense;MILTON LEMES DE PAULA;149.776;3799;25.36;99;0.693;;33087648.16;28369026.28;21303.17
Aragarças;5201702;aragarcense;RICARDO GALVÃO DE SOUSA;661.677;18390;27.79;98.3;0.732;25.38;85652499.68;73976539.57;13606.58
Aragoiânia;5201801;aragoianense;JOSE GARCIA DE SOUZA;218.125;11890;54.51;98;0.684;14.93;59274606.05;58633280.79;16321.67
Araguapaz;5202155;araguapaense;GABRIEL FORNIELES MOREIRA;2188.1;7153;3.27;97.8;0.674;44.44;39321733.78;38321606.41;23107.53
Arenópolis;5202353;arenopolino;DELMIRO DE OLIVEIRA CANO;1075.535;2946;2.74;100;0.687;;33637425.65;30872696.48;90406.19
Aruanã;5202502;aruanense;HERMANO DE CARVALHO;3054.773;8300;2.72;97.5;0.675;60.61;72083714.28;55131004.34;28236.14
Aurilândia;5202601;aurilandense;MARIA APARECIDA MAGALHAES FURTADO MACEDO;565.514;3284;5.81;97.5;0.7;37.04;23682075.92;35443264;27190.95
Avelinópolis;5202809;avelinopense;ADRIANO DE ARAÚJO;170.228;2868;16.85;97.9;0.66;28.57;28320342.12;24864653.79;28342.24
Baliza;5203104;balizense;FERNANDA NOLASCO VANDERLEY OLIVEIRA;1780.173;3351;1.88;98.6;0.655;32.26;31945648.26;27681811.31;22746.12
Barro Alto;5203203;barroaltense;ÀLVARO MACHADO DE FREITAS;1080.268;10371;9.6;99;0.742;19.11;188161608.92;159152050;135151.35
Bela Vista de Goiás;5203302;belavistense;NÁRCIA KELLY ALVES DA SILVA;1274.034;34445;27.04;98.3;0.716;18.65;167029351.42;151205633.6;47766.93
Bom Jardim de Goiás;5203401;bomjardinense;ODAIR SIVIRINO LEONEL;1901.137;7826;4.12;98.1;0.67;10.64;45104944.2;41555805.94;28911.53
Bom Jesus de Goiás;5203500;bomjesuense;ADAIR HENRIQUES DA SILVA;1405.605;23958;17.04;98.4;0.701;6.58;151604620.62;135004207.7;47168.42
Bonfinópolis;5203559;bonfinopolino;KELTON PINHEIRO;121.915;10296;84.45;98.8;0.683;;45146382.07;42541456.65;11970.13
Bonópolis;5203575;bonopolino;DEOCLECIANO ARAUJO DE LIRA;1635.319;3299;2.02;98.1;0.63;21.74;39008591.6;33252284.12;34206.22
Brazabrantes;5203609;brazabrantino;JOSÉ TOMÉ CORREIA FILHO;125.326;3992;31.85;99.2;0.701;21.28;28959659.24;25643254.98;24615.27
Britânia;5203807;britaniense;MARCONNI PIMENTA DA SILVA;1458.459;5695;3.9;97.6;0.672;37.04;33615681.56;38699796;34067.31
Buriti Alegre;5203906;buritialegrense;ANDRE DE SOUSA CHAVES;901.932;10495;11.64;96.9;0.71;36.04;64443918.05;61924638.28;49155.71
Buriti de Goiás;5203939;buritiense;ÁTILA RÚBIA DE DEUS;202.576;2732;13.49;99.4;0.687;;34722683.09;29415425.36;23098.87
Buritinópolis;5203962;buritinopolense;ANA PAULA SOARES DOURADO;246.075;3145;12.78;98.7;0.704;;38314293.99;30312919.26;27169.84
Cabeceiras;5204003;cabeceirense;EVERTON FRANCISCO DE MATOS;1126.434;7560;6.71;96.4;0.668;49.5;50392135.45;42462960.14;58772.45
Cachoeira Alta;5204102;cachoeiraaltense;MARCELO BATISTA DE PAULA;1657.226;11513;6.95;98;0.71;9.26;68557093.58;61584074.43;21932.48
Cachoeira de Goiás;5204201;cachoeirense;GERALDO ANTÔNIO NETO;424.49;1405;3.31;100;0.727;;25666726.16;25048345.99;29093.26
Cachoeira Dourada;5204250;cachoeirensedosul;RODRIGO RODRIGUES ALMEIDA;528.281;7782;14.73;98.8;0.698;;87282109.29;77990748.55;8685.14
Caçu;5204300;caçuense;ANA CLAUDIA LEMOS OLIVEIRA;2254.34;13774;6.11;98.7;0.73;7.14;117823267.47;107020526.7;54740.81
Caiapônia;5204409;caiaponiense;ARGEMIRO RODRIGUES SANTOS NETO;8627.961;16513;1.91;97.2;0.693;5.71;120239302.45;123339359.2;42563.87
