Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Abadia dos Dourados;3100104;abadiense;WANDERLEI LEMES SANTOS;880.461;6272;7.12;98.3;0.689;37.04;44202945.98;40697025.21;25174.26
Abaeté;3100203;abaetense;IVANIR DELADIER DA COSTA;1817.067;22675;12.48;99.8;0.698;14.35;113929765.5;108110225.2;23266.1
Abre Campo;3100302;abrecampense;VITOR HENRIQUE MOREIRA FERREIRA DE OLIVEIRA;470.551;13927;29.6;97.4;0.654;15.96;68370646.27;59685811.73;19553.86
Acaiaca;3100401;acaiaquense;LUIZ CARLOS FAUSTINO;101.886;3909;38.37;96;0.63;;29827818.55;27583150.37;16247.06
Açucena;3100500;açucenense;RAULISSON MORAIS;815.422;8943;10.97;96.7;0.61;;43297064.77;44079763.29;17888.2
Água Boa;3100609;águaboense;ORLANDO CARDOSO PEREIRA;1320.344;12589;9.53;92.9;0.576;6.99;61260422.88;58446633.86;14421.07
Água Comprida;3100708;águacompridense;ALEXANDRE DE ALMEIDA SILVA;492.167;2108;4.28;95.2;0.675;;41473621.63;32885423.19;115725.51
Aguanil;3100807;aguanilense;JOSE MARCIO DE OLIVEIRA;232.091;4357;18.77;97.4;0.663;;36324373.19;32465532.36;20762.54
Águas Formosas;3100906;águasformosense;CARLOS SOUZA;820.079;18448;22.5;96.6;0.645;11.67;85627230.51;75320284.72;14913.12
Águas Vermelhas;3101003;águasvermelhense;NILSON FRANCISCO CAMPOS;1256.607;14037;11.17;93.3;0.601;;70885447.15;66493180.75;17329.28
Aimorés;3101102;aimorense;MARCELO MARQUES;1348.913;25269;18.73;96.5;0.684;14.97;128036194.15;126059822.4;25402.54
Aiuruoca;3101201;aiuruocano;ERLISSON VITOR LOPES;649.68;6233;9.59;99.3;0.668;18.87;39947536.55;38870979.65;21608.49
Alagoa;3101300;alagoense;JULIANO DINIZ DE OLIVEIRA;161.356;2749;17.04;99;0.649;;30584326.47;32670241.58;17958.99
Albertina;3101409;albertinense;JOÃO PAULO FACANALI DE OLIVEIRA;58.01;2952;50.89;98.4;0.673;;35984799.93;34306410.86;51065.05
Além Paraíba;3101508;alémparaibano;MIGUEL BELMIRO DE SOUZA JUNIOR;510.25;30717;60.2;97.6;0.726;18.58;141184543.24;135226993;27422.83
Alfenas;3101607;alfenense;LUIZ ANTONIO DA SILVA;850.446;78970;92.86;97.8;0.761;13.02;495065667.81;486054738.9;43049.74
Alfredo Vasconcelos;3101631;vasconcelense;MAURO CESAR DE OLIVEIRA;130.815;6931;52.98;98;0.675;16.67;44369849.99;46401366.68;21364.59
Almenara;3101706;almenarense;ADEMIR COSTA GOBIRA;2294.426;40364;17.59;97.8;0.642;11.67;174767140.67;173429080.6;15924.96
Alpercata;3101805;alpercatense;RAFAEL AUGUSTO FRANCA OLIVEIRA MACHADO;166.972;6903;41.34;99.1;0.646;11.9;50428693.3;43960440.84;12700.99
Alpinópolis;3101904;alpinopolense;RAFAEL HENRIQUE DA SILVA FREIRE;460.685;18300;39.72;97;0.725;33.02;87968768.01;83878828.94;26133.79
Alterosa;3102001;alterosense;MARCELO NUNES DE SOUZA;362.01;13915;38.44;97.7;0.668;19.35;70724610.45;65074998.38;20357.31
Alto Caparaó;3102050;alto caparoense;JOSÉ JACOMEL JÚNIOR;103.69;5795;55.89;98.5;0.661;;36337487.68;35086844.16;16354.23
Alto Rio Doce;3102100;altoriodocense;VICTOR DE PAIVA LOPES;518.053;10891;21.02;95.9;0.62;10.31;55703632.44;50493714.54;16798.64
