Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Água Clara;5000203;águaclarense;GEROLINA DA SILVA ALVES;7781.558;16741;2.15;96.6;0.67;10.34;182764403.87;174593930.1;77081.38
Alcinópolis;5000252;alcinopolense;DALMY CRISOSTOMO DA SILVA;4397.518;4537;1.03;98;0.711;;87632017.08;76143832.23;43312.1
Amambai;5000609;amambaiense;EDINALDO LUIZ DE MELO BANDEIRA;4193.742;39325;9.38;93.2;0.673;13.47;269264624.05;276279202.8;43884.18
Anastácio;5000708;anastaciano;NILDO ALVES DE ALBRES;2913.177;24114;8.28;98.4;0.663;10.44;131028533.23;119993593.7;27508.95
Anaurilândia;5000807;anaurilandense;EDSON STEFANO TAKAZONO;3415.657;7653;2.24;98.9;0.67;13.51;75612172.07;88724948.01;45726.31
Angélica;5000856;angeliquense;EDISON CASSUCI FERREIRA;1283.627;10729;8.36;98.2;0.697;14.39;80541295.08;74678416.76;106924.28
Antônio João;5000906;antôniojoanense;AGNALDO MARCELO DA SILVA OLIVEIRA;1142.895;9303;8.14;96.9;0.643;33.56;84387969.14;71125856.43;80098.54
Aparecida do Taboado;5001003;aparecidense;JOSÉ NATAN DE PAULA DIAS;2751.485;27674;10.06;97.5;0.697;7.75;194964889.64;194508042.8;52822.84
Aquidauana;5001102;aquidauanense;ODILON FERRAZ ALVES RIBEIRO;17087.021;46803;2.74;97.6;0.688;5.76;320045550.87;321018096;25007.82
Aral Moreira;5001243;aralmoreirense;ALEXANDRINO AREVALO GARCIA;1653.86;10748;6.5;90.7;0.633;17.86;93309303.54;88120797.4;81659.48
Bandeirantes;5001508;bandeirantense;EDERVAN GUSTAVO SPROTTE;3357.926;7940;2.36;97.6;0.681;20.62;84734333.25;75925184.71;104256.82
Bataguassu;5001904;bataguassuense;AKIRA OTSUBO;2392.476;23031;9.63;97.9;0.71;12.05;152928886.97;136374414.2;44412.79
Batayporã;5002001;bataiporãense;GERMINO DA ROZ SILVA;1826.578;10712;5.86;97;0.684;22.9;80725612.3;71361258.85;53061.87
Bela Vista;5002100;belavistense;REINALDO MIRANDA BENITES;4899.44;21613;4.41;96;0.698;2.33;163206509.95;162307688.3;39325.43
Bodoquena;5002159;bodoquenense;KAZUTO HORII;2591.933;8567;3.31;99.2;0.666;34.19;87109256.96;85424832.16;45112.32
Bonito;5002209;bonitense;JOSMAIL RODRIGUES;5373.016;23659;4.4;97.3;0.67;8.55;214557133.81;216780293.1;53761.59
Brasilândia;5002308;brasilandense;ANTONIO DE PADUA THIAGO;5803.542;11579;2;98.7;0.701;7.14;136273839.7;121575923.3;72772.16
Caarapó;5002407;caarapoense;ANDRE LUIS NEZZI DE CARVALHO;2115.73;30612;14.47;91.5;0.692;8.26;236591496.04;223717569.9;67669.26
Camapuã;5002605;camapuense;MANOEL EUGENIO NERY;6238.127;13583;2.18;97.9;0.703;18.52;137149027.24;115100906;46584.73
Campo Grande;5002704;campograndense;ADRIANE BARBOSA NOGUEIRA LOPES;8082.978;898100;111.11;98;0.784;10.69;5484604047.75;5611305871;37916.06
Caracol;5002803;caracolense;CARLOS HUMBERTO PAGLIOSA;2943.206;5036;1.71;97.9;0.647;15.15;66225835.26;52863744.89;28753.23
Cassilândia;5002902;cassilandense;JAIR BONI COGO;3658.252;20988;5.74;98.9;0.727;25;176326688.5;162342917.9;35488.52
Chapadão do Sul;5002951;chapadense;JOÃO CARLOS KRUG;3252.327;30993;9.53;98.3;0.754;3.87;301508632.99;275268272.6;91707.11
Corguinho;5003108;corguinhense;MARCELA RIBEIRO LOPES;2639.657;4783;1.81;98.3;0.671;35.71;41835416.43;52336193.57;24410.15
Coronel Sapucaia;5003157;sapucaense;RUDI PAETZOLD;1023.727;14289;13.96;84;0.589;31.88;93819449.09;86662634.7;22914.88
Corumbá;5003207;corumbaense;MARCELO AGUILAR IUNES;64432.45;96268;1.49;94.7;0.7;16.84;888302606.31;822558735.4;34684.48
Costa Rica;5003256;costariquense;CLEVERSON ALVES DOS SANTOS;4159.384;26037;6.26;98.6;0.706;12.02;260411401.51;227689161;97722.89
Coxim;5003306;coxinense;EDILSON MAGRO;6391.486;32151;5.03;97.1;0.703;4.27;247824378.66;229115833;33316.2
Deodápolis;5003454;deodapolense;VALDIR LUIZ SARTOR;828.533;13663;16.49;99.1;0.694;6.54;50119030.48;99517806.14;37903.72
Dois Irmãos do Buriti;5003488;buritiense;WLADEMIR DE SOUZA VOLK;2431.609;11100;4.56;95.9;0.639;6.33;95686049.99;87276172.94;28765.87
Douradina;5003504;douradinense;JEAN SÉRGIO CLAVISSO FOGAÇA;280.457;5578;19.89;99.1;0.699;28.57;48965954.16;47199531.11;33357.95
Dourados;5003702;douradense;ALAN AQUINO GUEDES DE MENDONÇA;4062.236;243367;59.91;97.1;0.747;12.71;1538233199.85;1473820950;55246.68
