Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Acorizal;5100102;acorizano;DIEGO EWERTON FIGUEIREDO TAQUES;850.763;5014;5.89;96.6;0.628;;46109959.57;44171408.23;20561.61
Água Boa;5100201;águaboense;MARIANO KOLANKIEWICZ FILHO;7549.308;29219;3.87;99.2;0.729;26.49;286870969.12;270313137.9;74990.39
Alta Floresta;5100250;altaflorestense;VALDEMAR GAMBA;8955.41;58613;6.54;98;0.714;8.45;331802521.4;306044984.3;40531.28
Alto Araguaia;5100300;araguaiense;GUSTAVO DE MELO ANICÉZIO;5402.308;17193;3.18;96.7;0.704;20.94;163057941.02;162126264.8;59497.11
Alto Boa Vista;5100359;alto boa vistense;JOSÉ PEREIRA MARANHÃO;2248.414;5715;2.54;96.8;0.651;55.56;50879572.41;44407392.6;37231.59
Alto Garças;5100409;altogarcense;CLAUDINEI SINGOLANO;3858.153;13052;3.38;98;0.701;;97783547.03;108324874;97187.86
Alto Paraguai;5100508;altoparaguaiense;ADAIR JOSÉ ALVES MOREIRA;1847.354;8009;4.34;95.4;0.638;10.87;57816632.9;66780777.78;14382.3
Alto Taquari;5100607;taquariense;MARILDA GAROFOLO SPERANDIO;1436.582;10904;7.59;98.3;0.705;18.29;115483923.1;103869044.3;113538.74
Apiacás;5100805;apiacaense;JULIO CESAR DOS SANTOS;20489.024;8590;0.42;95;0.675;32.05;79415069.58;85139293.57;22418.58
Araguaiana;5101001;araguaianense;GETULIO DUTRA VIEIRA NETO;6380.7;3795;0.59;98.3;0.687;;50254623.37;43975761.93;41316.47
Araguainha;5101209;araguainhense;FRANCISCO GONÇALVES NAVES;675.231;1010;1.5;98.1;0.701;;31631280.27;25846616.59;30845.7
Araputanga;5101258;araputanguense;ENILSON DE ARAÚJO RIOS;1639.733;14786;9.02;97.5;0.725;9.66;100153408.42;95957375.77;38361.43
Arenápolis;5101308;arenapolitano;EDERSON FIGUEIREDO;417.337;10576;25.34;98.4;0.704;17.86;68885715.68;59437002.79;24711.43
Aripuanã;5101407;aripuanense;SELUIR PEIXER REGHIN;24678.135;24626;1;92.7;0.675;9.83;210542632.57;207391907.7;62691.39
Barão de Melgaço;5101605;melgaciano;MARGARETH GONÇALVES DA SILVA;11374.872;7253;0.64;86.3;0.6;;43253891.61;43859262.23;15262.65
Barra do Bugres;5101704;barrense;MARIA AZENILDA PEREIRA;5976.864;29403;4.92;96.9;0.693;11.76;211450706.49;189499332.3;44018.43
Barra do Garças;5101803;barragarcense;ADILSON GONCALVES DE MACEDO;8363.149;69210;8.28;96.3;0.748;16.02;385068345.89;379410120.7;41607.18
Bom Jesus do Araguaia;5101852;bomjesuense;MARCILEI ALVES DE OLIVEIRA;4266.636;7280;1.71;97.2;0.661;49.5;73000974.39;60239841.73;112613.63
Brasnorte;5101902;brasnortense;EDELO MARCELO FERRARI;15968.355;17004;1.06;96;0.696;18.24;166768706.69;155808599;101462.2
Cáceres;5102504;cacerense;ANTONIA ELIENE LIBERATO DIAS;24495.51;89681;3.66;97.8;0.708;15.68;403645190.62;438136155.5;23753.91
Campinápolis;5102603;campinapolense;JOSÉ BUENO VILELA;5978.985;15347;2.57;81.9;0.538;64.67;112456530.55;101336083.3;26958.25
Campo Novo do Parecis;5102637;camponovense;RAFAEL MACHADO;9428.586;45899;4.87;97.8;0.734;12.32;411890796.87;384363070.2;187188.91
Campo Verde;5102678;campoverdense;ALEXANDRE LOPES DE OLIVEIRA;4770.631;44585;9.35;98.1;0.75;;405301480.93;364830081.6;113394.08
Campos de Júlio;5102686;campo juliense;IRINEU MARCOS PARMEGGIANI;6792.808;8822;1.3;97.9;0.744;38.96;124625553.77;108035274.5;455838.1
Canabrava do Norte;5102694;canabravense;JOAO CLEITON ARAUJO DE MEDEIROS;3449.037;4485;1.3;98.1;0.667;21.74;52035316.29;43259632.62;56716.7
Canarana;5102702;canaranense;FÁBIO MARCOS PEREIRA DE FARIA;10855.181;25858;2.38;94.3;0.693;21.41;252104177.39;230911227.1;132641.17
Carlinda;5102793;carlindense;CARMELINDA LEAL MARTINES COELHO;2421.788;10332;4.27;98.7;0.665;21.74;67579418.47;60082954.07;29658.71
Castanheira;5102850;castanheirense;JAKSON DE OLIVEIRA RIOS JUNIOR;3713.466;7506;2.02;96.8;0.665;21.98;55167624.34;51857055.86;24494.82
Chapada dos Guimarães;5103007;chapadense;OSMAR FRONER DE MELLO;6603.252;18990;2.88;95.7;0.688;12.3;158906198.05;157563504.6;53931.12
Cláudia;5103056;claudiense;ALTAMIR KURTEN;3843.561;9593;2.5;97.5;0.699;6.76;96802510.25;88496231.21;86593.96
Cocalinho;5103106;cocalinhense;MARCIO CONCEIÇÃO NUNES DE AGUIAR;16563.136;6220;0.38;90.4;0.66;;69071754.69;67716949.93;52079.24
Colíder;5103205;colidense;HEMERSON LOURENÇO MAXIMO;3112.091;31370;10.08;97.2;0.713;11.54;170040850.63;166793801.5;37495.61
Colniza;5103254;colnizense;MILTON DE SOUZA AMORIM;27960.237;25766;0.92;95.4;0.611;23.47;169596421.43;153450169.8;20651.18
Comodoro;5103304;comodorense;ROGÉRIO VILELA VICTOR DE OLIVEIRA;21485.018;18238;0.85;96.1;0.689;20.77;152338537.98;131515038.5;59213.23
Confresa;5103353;confresense;RONIO CONDÃO BARROS MILHOMEM;5802.314;35075;6.05;97.2;0.668;12.35;213446449.17;195365630.7;47721.27
Conquista D'Oeste;5103361;conquistense d’oeste;MARIA LUCIA DE OLIVEIRA PORTO;2684.676;3760;1.4;98.6;0.718;16.39;52756080.87;49828444.34;34399.39
Cotriguaçu;5103379;cotriguaçuenses;OLIRIO OLIVEIRA DOS SANTOS;9469.957;11011;1.16;87.9;0.601;5.85;78489751.93;74031258.49;15773.04
Cuiabá;5103403;cuiabano (papa peixe);EMANUEL PINHEIRO;4327.448;650877;150.41;95.8;0.785;13.63;4206842583.08;4233324461;47700.88
Curvelândia;5103437;curvelandenses;JADILSON ALVES DE SOUZA;357.128;4903;13.73;99.7;0.69;17.54;38599940.89;32607809.17;23513.3
Denise;5103452;denisiense;ALDECIR DE SOUSA OLIVEIRA;1273.178;7014;5.51;97.6;0.683;23.81;57762312.45;46863132.47;55018.49
