Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2022;Totaldespesasbrutasempenhadasreais2022;PIBpercapitareais2021
Abaetetuba;1500107;abaetetubense;FRANCINETI MARIA RODRIGUES CARVALHO;1610.654;158188;98.21;97.7;0.628;20.39;539686175.28;525918634.9;12150.04
Abel Figueiredo;1500131;abelfigueiredense;ANTÔNIO DOS SANTOS CALHAU;614.131;6136;9.99;97.6;0.622;;36930546.7;35237754.55;13998.91
Acará;1500206;acaraense;PEDRO PAULO GOUVEA MORAES;4344.384;59023;13.59;92.9;0.506;13.8;251351271.3;258650177.4;25714.69
Afuá;1500305;afuaense;ODIMAR WANDERLEY SALOMAO;8338.438;37765;4.53;88.4;0.489;18.2;214275354.32;205481063.7;11130.94
Água Azul do Norte;1500347;aguaazulense;ISVANDIRES MARTINS RIBEIRO;7113.955;18080;2.54;90.2;0.564;13.7;115214101.61;107951491;23136.75
Alenquer;1500404;alenquerense;HEVERTON DOS SANTOS SILVA;23645.452;69377;2.93;95.6;0.564;15.15;182053357.5;181977840.3;12988.38
Almeirim;1500503;almeiriense;MARIA LUCIDALVA BEZERRA DE CARVALHO;72954.798;34280;0.47;95.8;0.642;19.2;202173805.64;200206866.1;20220.01
Altamira;1500602;altamirense;CLAUDOMIRO GOMES DA SILVA;159533.306;126279;0.79;93.1;0.665;13.58;604073937.62;641586004.7;26595.8
Anajás;1500701;anajaense;VIVALDO MENDES DA CONCEIÇÃO;6913.64;28011;4.05;90.6;0.484;10.17;154184770.86;152177093.6;8607.88
Ananindeua;1500800;ananindeuense;DANIEL BARBOSA SANTOS;190.581;478778;2512.2;96.7;0.718;14.49;1490564531.6;1486578514;16542.68
Anapu;1500859;anapuense;AELTON FONSECA SILVA;11895.27;31850;2.68;94.2;0.548;17.15;154248691.61;153697497.6;20061.15
Augusto Corrêa;1500909;augustocorreense;FRANCISCO EDINALDO QUEIROZ DE OLIVEIRA;1099.619;44573;40.53;93.6;0.52;18.62;207502977.81;197638851.3;7750.19
Aurora do Pará;1500958;auroenses;VANESSA GUSMÃO MIRANDA;1811.84;23774;13.12;87.3;0.519;11.4;118241924.93;111922303.2;9584.87
Aveiro;1501006;aveirense;VILSON GONÇALVES;17074.053;18290;1.07;96.1;0.541;28.74;78146643.09;77655671.75;9254.57
Bagre;1501105;bagrense;CLEBERSON FARIAS LOBATO RODRIGUES;4397.321;31892;7.25;82.7;0.471;21.62;129890031.99;131436927.2;7837.69
Baião;1501204;baionense;LOURIVAL MENEZES FILHO;3759.834;51641;13.73;91.4;0.578;22.3;158720435.08;163740485;11367.06
Bannach;1501253;bannaquense;LUCINEIA ALVES DA SILVA;2956.649;4031;1.36;95.2;0.594;;40793713.06;36296311.57;39829.41
Barcarena;1501303;barcarenense;JOSÉ RENATO OGAWA RODRIGUES;1310.338;126650;96.65;97.3;0.662;13.12;852467794.24;790336364.5;71473.92
Belém;1501402;belenense;EDMILSON BRITO RODRIGUES;1059.466;1303403;1230.25;96.1;0.746;14.81;4537008278.34;4194671693;22216.33
Belterra;1501451;belterrense;ULISSES JOSE MEDEIROS ALVES;4398.418;18099;4.11;96.6;0.588;11.4;93519155.32;85599084.21;13218.69
Benevides;1501501;benevidense;LUZIANE DE LIMA SOLON OLIVEIRA;187.826;63567;338.44;97.4;0.665;11.63;264286094.55;251358374.2;30668.86
Bom Jesus do Tocantins;1501576;bomjesuense;JOÃO DA CUNHA ROCHA;2816.604;18005;6.39;94.8;0.589;8.4;94244962.19;88054011.93;14134.87
Bonito;1501600;bonitense;MICHEL ASSAD;586.976;12622;21.5;95;0.546;10.05;57261286.83;43944629.21;12325.25
Bragança;1501709;bragantino;RAIMUNDO NONATO DE OLIVEIRA;2124.734;123082;57.93;96.1;0.6;11.59;387550887.14;435071231.8;10679
Brasil Novo;1501725;brasilnovense;WEDER MAKES CARNEIRO;6362.575;24718;3.88;93.4;0.613;3.29;103691636.53;95943363.42;25519.93
Brejo Grande do Araguaia;1501758;brejograndense;JESUALDO NUNES GOMES;1288.477;6783;5.26;94.6;0.591;9.26;50646367.36;48655882;15643.39
Breu Branco;1501782;breuense;FLAVIO MARCOS MEZZOMO;3941.904;45712;11.6;96;0.568;1.56;219403678.93;208368175.2;11579.35
Breves;1501808;brevense;JOSÉ ANTONIO AZEVEDO LEÃO;9566.572;106968;11.18;90.2;0.503;15.77;449513276.9;433303912.9;8572.43
Bujaru;1501907;bujaruense;MIGUEL BERNARDO DA COSTA JUNIOR;994.691;24383;24.51;91.9;0.552;17.77;132166973.97;135310828;18061.39
Cachoeira do Piriá;1501956;cachoeirapiriaense;RAIMUNDO NONATO ALENCAR MACHADO;2419.6;19630;8.11;89.5;0.473;3.18;108921509.27;98345256.12;6447.28
Cachoeira do Arari;1502004;cachoeirense;ANTÔNIO AUGUSTO FIGUEIREDO ATHAR;3100.261;23981;7.74;92.2;0.546;18.69;84529712.14;80991039.05;10504.21
Cametá;1502103;cametaense;VICTOR CORREA CASSIANO;3081.367;134184;43.55;96.7;0.577;17.17;464422650.7;552454869.6;9897.38
Canaã dos Carajás;1502152;canaãnense;JOSEMIRA RAIMUNDA DINIZ GADELHA;3146.821;77079;24.49;97.8;0.673;10.16;1969905080.42;1990282766;894806.28
Capanema;1502202;capanemense;FRANCISCO FERREIRA FREITAS NETO;621.483;70394;113.27;97.5;0.655;10.24;222371900.19;228822751.8;20438
Capitão Poço;1502301;capitãopocense;JOÃO GOMES DE LIMA;2901.026;56506;19.48;95.8;0.548;16.59;177470821.01;185613638.6;11289.26
Castanhal;1502400;castanhalense;PAULO SERGIO RODRIGUES TITAN;1029.3;192256;186.78;95.4;0.673;13.84;727027195.11;798008550.5;22897.75
Chaves;1502509;chaveense;JOSE RIBAMAR SOUSA DA SILVA;12534.995;20757;1.66;79.7;0.453;16.62;114548069.32;120634183.6;10269.71
Colares;1502608;colarense;MARIA LUCIMAR BARATA;384.068;12868;33.5;98.6;0.602;;52717435.16;49844231.32;8293.17
