Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Água Branca;2500106;agua branquense;EVERTON FIRMINO BATISTA;241.662;9335;38.63;97.6;0.572;13.51;56905656.59;57859957.44;8870.96
Aguiar;2500205;aguiarense;MANOEL BATISTA GUEDES FILHO;351.607;5003;14.23;98.9;0.597;21.28;36726274.15;29832956.32;10689.52
Alagoa Grande;2500304;alagoagrandense;ANTÔNIO DA SILVA SOBRINHO;322.071;26062;80.92;97.4;0.582;21.51;105519857.79;93522677.43;10573.42
Alagoa Nova;2500403;alagoanovense;FRANCINILDO PIMENTEL DA SILVA;128.23;21013;163.87;97.9;0.576;12.7;105240492.25;106488632.2;15961.14
Alagoinha;2500502;alagoinhense;MARIA RODRIGUES DE ALMEIDA FARIAS;111.361;13725;123.25;98.7;0.595;15.79;66977185.8;66448379.68;9468.2
Alcantil;2500536;alcantilense;CICERO JOSÉ FERNANDES DO CARMO;309.896;5578;18;95.7;0.578;10.53;40979518.29;36112331.91;9968.7
Algodão de Jandaíra;2500577;algodoense;HUMBERTO DOS SANTOS;222.74;2953;13.26;98.5;0.548;;31040436.57;25626883.58;11062.36
Alhandra;2500601;alhandrense;MARCELO RODRIGUES DA COSTA;183.974;21730;118.11;96.3;0.582;24.54;206696602.23;180690780.5;171143.98
São João do Rio do Peixe;2500700;sãojoanense;LUIZ CLAUDINO DE CARVALHO FLORÊNCIO;476.238;17964;37.72;98.7;0.608;5.95;93840126.91;86227120.85;12515.6
Amparo;2500734;amparense;INACIO LUIZ NOBREGA DA SILVA;122.094;2234;18.3;98.1;0.606;41.67;26901649.01;23207569.88;13000.44
Aparecida;2500775;aparecidense;JOÃO RABELO DE SÁ NETO;291.478;7960;27.31;96.2;0.578;30;40696996.86;34828185.92;12405.76
Araçagi;2500809;araçagiense;JOSILDA MACENA BENICIO LEITE;232.177;16646;71.7;95;0.549;24.84;79336523.25;71676731.67;11026.72
Arara;2500908;araraense;JOSÉ AILTON PEREIRA DA SILVA;91.306;12212;133.75;97.3;0.548;15.5;53831544.54;51220236.31;8250.02
Araruna;2501005;ararunense;VITAL DA COSTA ARAUJO;246.717;17189;69.67;97.5;0.567;10.05;87669712.74;78490578.78;9912.59
Areia;2501104;areiense;SILVIA CESAR FARIAS DA CUNHA LIMA;269.13;22633;84.1;97.5;0.594;25.45;99666190.98;92879464.57;11435.64
Areia de Baraúnas;2501153;baraunense;ANTÔNIO GERÔNIMO DUARTE MACEDO;114.078;2005;17.58;98.8;0.562;;26351822.32;22591603.01;12396.9
Areial;2501203;areialense;ADELSON GONÇALVES BENJAMIN;35.81;7128;199.05;98.1;0.608;;36930328.42;37948436.87;8871.24
