Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Abreu e Lima;2600054;abreulimense;FLÁVIO VIEIRA GADELHA DE ALBUQUERQUE;126.384;98462;779.07;97.2;0.679;10.51;267763170.66;275896879.9;17123.06
Afogados da Ingazeira;2600104;afogadense;ALESANDRO PALMEIRA DE VASCONCELOS LEITE;377.696;40241;106.54;97.3;0.657;12.99;164164192.79;183129161.5;14430.74
Afrânio;2600203;afraniense;RAFAEL ANTONIO CAVALCANTI;1490.594;18674;12.53;98.7;0.588;12.66;95963172.34;86290079.96;10500.7
Agrestina;2600302;agrestinense;JOSUÉ MENDES DA SILVA;200.369;23779;118.68;96.4;0.592;5.46;118865783.55;109398597.2;13980.13
Água Preta;2600401;águapretense;NOELINO MAGALHAES OLIVEIRA LYRA;531.935;26461;49.74;94;0.553;17.19;117545957.71;118530385.4;6950.9
Águas Belas;2600500;águasbelense;LUIZ AROLDO REZENDE DE LIMA;885.988;41548;46.89;96.1;0.526;14.27;162358716.51;168013311.6;9132.13
Alagoinha;2600609;alagoinhense;UILAS LEAL DA SILVA;214.267;13542;63.2;96.3;0.599;10.87;71644680.42;69771817.48;9794.9
Aliança;2600708;aliancense;XISTO LOURENÇO DE FREITAS NETO;272.773;35741;131.03;97;0.604;12.9;143528052.08;158905005;10761.16
Altinho;2600807;altinense;ORLANDO JOSÉ DA SILVA;450.178;20674;45.92;96.9;0.598;19.32;80178994.99;82169949.09;9679.46
Amaraji;2600906;amarajinense;ALINE DE ANDRADE GOUVEIA;233.239;18205;78.05;96.6;0.58;10.83;85805594.05;96413868.79;12850.59
Angelim;2601003;angelinense;MARCIO DOUGLAS CAVALCANTI DUARTE;118.088;10241;86.72;96.4;0.572;7.94;57643358.93;56553981.93;12588.25
Araçoiaba;2601052;araçoiabense;CARLOS JOGLI ALBUQUERQUE TAVARES UCHÔA;96.36;19243;199.7;97;0.592;42.55;94053246.48;89398875.3;7732.35
Araripina;2601102;araripinense;JOSÉ RAIMUNDO PIMENTEL DO ESPÍRITO SANTO;2037.394;85088;41.76;95.2;0.602;11.02;327535972.07;303646905.4;14912.98
Arcoverde;2601201;arcoverdense;JOSÉ WELLINGTON CORDEIRO MACIEL;343.923;77742;226.04;97.3;0.667;10.73;270843964.91;269469223.8;16141.61
Barra de Guabiraba;2601300;guabirabense;DIOGO CARLOS DE LIMA SILVA;118.639;12263;103.36;93.7;0.577;6.58;66903026.02;65654574;10042.58
Barreiros;2601409;barreirense;CARLOS ARTUR SOARES DE AVELLAR JUNIOR;233.433;40121;171.87;94.6;0.586;23.26;170525898.1;172360660.5;11757.3
Belém de Maria;2601508;belenense;ROLPH EBER CASALE JUNIOR;73.145;10378;141.88;98.5;0.578;;61193170.63;50415549.58;8176.47
Belém do São Francisco;2601607;belenense;GUSTAVO HENRIQUE GRANJA CARIBÉ;1830.797;18301;10;97.3;0.642;27.03;89199469.97;94864063.84;17669.71
Belo Jardim;2601706;belojardinense;GILVANDRO ESTRELA DE OLIVEIRA;647.445;79507;122.8;97.1;0.629;13.79;301528911.57;264866563.6;35942.24
Betânia;2601805;betaniense;MARIO GOMES FLOR FILHO;1244.074;11232;9.03;93.8;0.559;18.07;68421519.73;70773784.35;8220.08
Bezerros;2601904;bezerrense;MARIA LUCIELLE SILVA LAURENTINO;492.632;61694;125.23;95.9;0.606;9.22;200820366.71;214874009;15794.39
Bodocó;2602001;bodocoense;OTAVIO AUGUSTO TAVARES PEDROSA CAVALCANTE;1621.786;34478;21.26;95.7;0.565;15.09;148384639.65;151561479.2;8211.64
Bom Conselho;2602100;conselhense;JOAO LUCAS DA SILVA CAVALCANTE;792.185;44294;55.91;96.2;0.563;27.54;169946443.92;174458344.7;13132.22
Bom Jardim;2602209;bomjardinense;JOÃO FRANCISCO DA SILVA NETO;224.108;37629;167.91;97;0.602;9.46;155688776.64;144114188.8;9165.99
Bonito;2602308;bonitense;GUSTAVO ADOLFO NEVES DE ALBUQUERQUE CÉSAR;393.191;37474;95.31;96.7;0.561;18.48;140745004.83;146810871.8;14155.54
Brejão;2602407;brejonense;ELISABETH BARROS DE SANTANA;159.786;9079;56.82;96.3;0.547;16.95;67251919.85;63812418.83;20451.9
Brejinho;2602506;breijinhense;GILSOMAR BENTO DA COSTA;106.039;7720;72.8;98.2;0.574;9.52;71202445.35;49345694.54;11200.23
Brejo da Madre de Deus;2602605;brejense;ROBERTO ABRAHAM ABRAHAMIAN ASFORA;762.346;48648;63.81;95.6;0.562;14;181588678.28;186754772.6;8924.43
Buenos Aires;2602704;buenairense;JOSE FABIO DE OLIVEIRA;93.187;12808;137.44;97.4;0.593;12.05;62574062.92;63604264.28;10068.94
Buíque;2602803;buiquense;ARQUIMEDES GUEDES VALENÇA;1336.544;52097;38.98;94.7;0.527;13.87;183461147.46;189452280.4;9235.21
Cabo de Santo Agostinho;2602902;cabense;CLAYTON DA SILVA MARQUES;445.386;203440;456.77;96.5;0.686;11.87;1236226269.66;1069014585;65022.05
Cabrobó;2603009;cabroboense;ELIOENAI DIAS SANTOS FILHO;1658.616;30294;18.26;97.6;0.623;12.17;145789647.51;150148447.7;12676.5
Cachoeirinha;2603108;cachoeirinhense;IVALDO DE ALMEIDA;179.262;19899;111.01;95.3;0.579;13.56;84827671.31;75226480.8;12337.22
Caetés;2603207;caeteense;NIVALDO DA SILVA MARTINS;294.946;28827;97.74;92.6;0.522;7.59;119020435.04;114463454.2;14578.59
Calçado;2603306;calçadense;FRANCISCO EXPEDITO DA PAZ NOGUEIRA;121.945;11093;90.97;97.1;0.566;16;56252038.14;53636130.13;10497.94
Calumbi;2603405;calumbiense;ERIVALDO JOSE DA SILVA;179.314;5228;29.16;95.3;0.571;;43142033.73;45962182.63;8756.96
Camaragibe;2603454;camaragibense;NADEGI ALVES DE QUEIROZ;51.321;147771;2879.35;97.4;0.692;14.04;530107919.58;461438588.3;13940.29
Camocim de São Félix;2603504;camociense ou camocinense;GIORGE DO CARMO BEZERRA;72.01;17419;241.9;97;0.588;9.09;72463701.09;67678864.92;9518.74
Camutanga;2603603;camutanguense;TALITA CARDOZO FONSECA;39.116;7750;198.13;97.9;0.606;9.9;51077831.01;46822222.38;33213.32
Canhotinho;2603702;canhotinhense;SANDRA REJANE LOPES DE BARROS;423.168;24329;57.49;91.8;0.541;14.23;114284895;106802279.3;10232.04
Capoeiras;2603801;capoeirense;JOAQUIM COSTA TEIXEIRA;337.13;18338;54.39;96.5;0.549;22.39;96819190.88;91824971.09;12173.46
