Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Acauã;2200053;acauãnense;PAULO SERGIO DE SOUSA;1280.838;6420;5.01;97.5;0.528;10.64;33330246.57;31401257.65;10332.99
Agricolândia;2200103;agricolandiense;ITALO JAMES ALENCAR DE SOUZA;112.392;4940;43.95;97.5;0.599;33.33;30357957.49;28523949.21;9229.59
Água Branca;2200202;águabranquense;JOSÉ RIBEIRO DA CRUZ JUNIOR;96.843;17573;181.46;98.6;0.639;15.21;90822942.89;87153209.11;13921.29
Alagoinha do Piauí;2200251;alagoinhense;JORISMAR JOSÉ DA ROCHA;535.89;6819;12.72;93.6;0.531;12.05;28547125.9;28219015.51;8523.28
Alegrete do Piauí;2200277;alegretense;MARIA LILIAN DE ALENCAR;243.732;4634;19.01;96.7;0.585;;27751140.33;27083456.25;9791.41
Alto Longá;2200301;longaense;HENRIQUE CESAR SARAIVA AREA LEAO COSTA;1743.331;13479;7.73;97.9;0.585;8.77;57275729.79;52669237.72;9112.43
Altos;2200400;altoense;MAXWELL PIRES FERREIRA;957.232;47453;49.57;97.6;0.614;12.54;198875498.83;199365076.7;13219.3
Alvorada do Gurguéia;2200459;alvoradense;LÉCIO GUSTAVO DE SOUSA BEZERRA;2131.506;5322;2.5;97.4;0.578;22.99;33952702.53;31259478.06;15016.43
Amarante;2200509;amarantino;DIEGO LAMARTINE SOARES TEIXEIRA;1152.127;17234;14.96;97.2;0.598;31.11;89347165.76;81287405.64;10937.14
Angical do Piauí;2200608;angicalense;BRUNO FERREIRA SOBRINHO NETO;222.008;6827;30.75;96.9;0.63;11.9;37491158.4;35191521.87;9846.26
Anísio de Abreu;2200707;anisiense;RAIMUNDO NEI ANTUNES RIBEIRO;337.877;9407;27.84;98.3;0.594;18.18;39003979.99;37037157.01;9900.44
Antônio Almeida;2200806;antônioalmeidense;MARCELO TOLEDO LAURINI;644.8;3152;4.89;99.6;0.62;;36082634.25;34112686.29;45295.91
Aroazes;2200905;aroazense;MANOEL PORTELA DE CARVALHO NETO;821.212;5369;6.54;98.9;0.583;18.18;38930299.03;37477947.02;9847.89
Aroeiras do Itaim;2200954;aroeirense;EDMILSON FRANCISCO DE DEUS;316.235;2690;8.51;94.2;0.519;;21395105.57;19247974.93;9652.94
Arraial;2201002;arraialense;ALDEMES BARROSO DA SILVA;682.727;4520;6.62;97.7;0.56;21.74;36865124.46;31510481.38;10380.26
Assunção do Piauí;2201051;assunçãoense;ANTONIO LUIZ NETO;1690.703;7452;4.41;97.9;0.499;38.46;44574781.75;42568865.81;8156.68
Avelino Lopes;2201101;avelinolopense;AMINADAB PEREIRA DE SOUSA NETO;1220.371;10866;8.9;97.2;0.554;6.8;57831866.88;56291295.97;8590.91
Baixa Grande do Ribeiro;2201150;baixagrandense do ribeiro;JOSE LUIS SOUSA;7808.915;13272;1.7;96.4;0.564;11.54;148712832.2;132371359.8;150504.56
Barra D'Alcântara;2201176;barra d’alcantarense;MARDONIO SOARES LOPES;263.943;3995;15.14;96;0.577;95.24;35981020.45;31901210.73;9856.65
Barras;2201200;barrense;EDILSON SERVULO DE SOUSA;1722.507;47938;27.83;97.5;0.595;11.29;214662144.45;209929909.8;10520.51
Barreiras do Piauí;2201309;barreirense;MANOEL AROLDO BARREIRA FILHO;2168.713;3264;1.51;98.5;0.557;;29613000.61;25510163.49;48620.97
Barro Duro;2201408;barrodurense;ELÓI PEREIRA DE SOUSA;159.436;6640;41.65;96.9;0.612;;41668869.44;38082461.01;12792.63
Batalha;2201507;batalhense;JOSÉ LUIZ ALVES MACHADO;1589.01;26300;16.55;99.2;0.545;32.97;105928097.17;103037970.8;9305.89
Bela Vista do Piauí;2201556;bela vistense;FRANCISCO DE SOUSA NETO;499.092;4091;8.2;97.6;0.576;18.52;25756960.42;22844335.75;11591.5
Belém do Piauí;2201572;belenense;ADEMAR ALUÍSIO DE CARVALHO;243.234;3423;14.07;97;0.551;28.57;35658014.96;29860532.88;11440.06
Beneditinos;2201606;beneditinense;JULLYVAN MENDES DE MESQUITA;937.098;9929;10.6;97.2;0.557;9.35;53256736.68;51244129.77;8769.43
Bertolínia;2201705;bertolinense;GERALDO FONSECA CORREIA;1216.116;5562;4.57;97.6;0.612;;33250204.6;30618237.71;13091.16
Betânia do Piauí;2201739;betanhense;FABIO DE CARVALHO MACEDO;579.576;6220;10.73;97;0.489;35.4;40808032.08;37864544.52;10067.79
Boa Hora;2201770;boa horense;FRANCIEUDO DO NASCIMENTO CARVALHO;336.954;6902;20.48;99;0.575;44.78;34313591.58;32770416.08;9127.74
Bocaina;2201804;bocainense;ERIVELTO DE SÁ BARROS;261.651;4078;15.59;97.4;0.632;;28811053.99;26138149.59;10594.7
Bom Jesus;2201903;bomjesuense;NESTOR RENATO PINHEIRO ELVAS;5471.024;28796;5.26;97.9;0.668;18.15;205235556.39;176664032.7;55119.81
Bom Princípio do Piauí;2201919;bomprincipiense;LUCAS DA SILVA MORAES;523.142;5636;10.77;97.7;0.532;11.36;35732436.58;34387669.23;12374.89
Bonfim do Piauí;2201929;bonfinense;PAULO HENRIQUE VIANA PINDAIBA;289.149;5913;20.45;97.6;0.542;;31487800.74;28286063.75;9288.55
Boqueirão do Piauí;2201945;boqueirãoense;GENIR FERREIRA DA SILVA;269.786;6545;24.26;98.8;0.56;;31235374.35;29728968.55;8028.09
Brasileira;2201960;brasileirense;CARMEN GEAN VERAS DE MENESES;880.836;8436;9.58;96.7;0.577;;53061364.47;44812504.55;8288.44
Brejo do Piauí;2201988;brejense;FABIANO FEITOSA LIRA;2267.327;3904;1.72;98;0.515;;37148164.33;31792229.38;11500.45
Buriti dos Lopes;2202000;buritiense;RAIMUNDO NONATO LIMA PERCY JÚNIOR;690.54;19654;28.46;97.5;0.565;6.83;113117459.08;100445121.1;10828.33
Buriti dos Montes;2202026;buritiense;JOSÉ OLAVO MARINHO DE LOIOLA JUNIOR;2437.326;7434;3.05;98.3;0.574;16.39;51527796.33;49720110.57;8414.58
Cabeceiras do Piauí;2202059;cabeceirense;JOSÉ DA SILVA FILHO;608.747;10212;16.78;98.3;0.583;36.36;47187714.3;41316649.77;8071.8
Cajazeiras do Piauí;2202075;cajazerense;CARLOS ALBERTO SILVESTRE DE SOUSA;514.106;3108;6.05;99.2;0.562;;34010725.46;29623414.57;9532.17
