Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Abatiá;4100103;abatiense;NELSON GARCIA JUNIOR;228.717;7241;31.66;96.5;0.687;;47733587.01;41659546.03;30140.55
Adrianópolis;4100202;adrianopolitano ou adrianopolense;VANDIR DE OLIVEIRA ROSA;1349.311;6256;4.64;95.8;0.667;14.29;53663341.32;48779622.82;63631.39
Agudos do Sul;4100301;agudensedosul ou agudense;JESSE DA ROCHA ZOELLNER;192.261;10233;53.22;96.3;0.66;;56439846.05;48989315.67;22674.09
Almirante Tamandaré;4100400;tamandareense;GERSON DENILSON COLODEL;194.228;119825;616.93;95.6;0.699;11.47;422273302.05;363215435;15947.74
Altamira do Paraná;4100459;altamirense;JOSE ETEVALDO DE OLIVEIRA;386.945;3590;9.28;97.5;0.667;23.26;39337787.13;31516744.42;67332.6
Altônia;4100509;altoniano;CLAUDENIR GERVASONE;661.56;18742;28.33;99.7;0.721;9.71;102531584;94730535.72;20747.69
Alto Paraná;4100608;altoparanaense;CLAUDEMIR JOIA PEREIRA;407.719;13909;34.11;96;0.696;6.06;88937859.66;78405848.81;29192.99
Alto Piquiri;4100707;altopiquirense;GIOVANE MENDES DE CARVALHO;447.666;9727;21.73;97.7;0.676;8.33;64484961.27;55707732.46;42092.67
Alvorada do Sul;4100806;alvoradensedosul;MARCOS ANTONIO VOLTARELLI;424.25;10326;24.34;97.4;0.708;;100435694.04;87951715.04;29176.4
Amaporã;4100905;amaporense;MAURO LEMOS;384.735;4762;12.38;98.3;0.669;37.04;48799577.83;38976608.85;18911.54
Ampére;4101002;amperense;DISNEI LUQUINI;298.349;19620;65.76;99.3;0.709;7.38;121709989.45;102310509.8;38549.37
Anahy;4101051;anaiense;CARLOS ANTONIO REIS;102.895;2918;28.36;97.4;0.695;;35959309.48;30151826.53;41475.92
Andirá;4101101;andiraense;IONE ELISABETH ALVES ABIB;235.944;19878;84.25;99.1;0.725;19.7;143168119;128408460.4;41191.94
Ângulo;4101150;angulense;ROGÉRIO APARECIDO BERNARDO;106.021;3235;30.51;100;0.721;;48203982.04;36630284.54;52613.12
Antonina;4101200;antoninense;JOSÉ PAULO VIEIRA AZIM;891.582;18091;20.29;97.6;0.687;;132839332.3;121095621.8;37048.49
Antônio Olinto;4101309;antoniolintense;ALAN JAROS;469.62;7018;14.94;98.6;0.656;;44936514.59;41324262.18;31445.78
Apucarana;4101408;apucaranense;SEBASTIAO FERREIRA MARTINS JUNIOR;556.99;130134;233.64;97.8;0.748;13.82;601344879.13;549055470.4;28189.54
Arapongas;4101507;araponguense;SERGIO ONOFRE DA SILVA;382.215;119138;311.7;97.3;0.748;4.61;673729889.87;544208248.2;39149.76
Arapoti;4101606;arapotiense;IRANI JOSE BARROS;1358.176;25777;18.98;97.7;0.723;13.62;196137764.4;170719640;50824.66
Arapuã;4101655;arapuense;DEODATO MATIAS;217.371;3527;16.23;97.1;0.676;21.28;38679814.57;30829812.33;51561.44
Araruna;4101705;ararunense;LEANDRO CESAR DE OLIVEIRA;493.191;14485;29.37;99.1;0.704;26.46;87394811.75;72686581.27;39018.11
Araucária;4101804;araucariano;HISSAM HUSSEIN DEHAINI;469.24;151666;323.22;97.4;0.74;8.2;1953563420.6;1625304742;170125.52
Ariranha do Ivaí;4101853;ariranhense do ivaí;THIAGO EPIFANIO DA SILVA;234.076;2329;9.95;99.4;0.67;38.46;36936098.57;29115337.11;63664.72
Assaí;4101903;assaiense;MICHEL ANGELO BOMTEMPO;440.347;13797;31.33;98;0.728;6.62;76026353.68;60797441.88;36478.15
Assis Chateaubriand;4102000;assischateaubriense;VALTER APARECIDO SOUZA CORREIA;980.727;36808;37.53;98.6;0.729;9.03;216579291.66;196172972.6;49040.24
Astorga;4102109;astorgano;SUZIE APARECIDA PUCILLO ZANATTA;434.792;25475;58.59;97.4;0.747;15.67;157424552.33;144634091.9;33567.88
Atalaia;4102208;atalaiense;CARLOS EDUARDO ARMELIN MARIANI;137.663;3980;28.91;99.6;0.736;58.82;47041193.33;38683942.19;45806.54
Balsa Nova;4102307;balsanovense;MARCOS ANTONIO ZANETTI;348.926;13395;38.39;87.4;0.696;24.24;84282386.83;74995728.7;69966.95
Bandeirantes;4102406;bandeirantense;JAELSON RAMALHO MATTA;445.192;31273;70.25;97.8;0.727;13.19;159561521.94;141389472.6;33274.08
Barbosa Ferraz;4102505;barbosense;EDENILSON APARECIDO MILIOSSI;538.636;10795;20.04;98.2;0.696;26.32;68857516.39;61716054.01;26524.95
Barracão;4102604;barraconense;JORGE LUIZ SANTIN;161.213;9759;60.53;95.3;0.706;;67490002.53;59403039.42;25538.63
Barra do Jacaré;4102703;barrense;EDIMAR DE FREITAS ALBONETI;115.855;2814;24.29;98.7;0.744;;36139452.38;30509305.11;53994.67
Bela Vista da Caroba;4102752;belavistense;GELSON MAFFI;148.107;4031;27.22;99.5;0.681;21.28;33368063.84;29759689.44;31414.33
Bela Vista do Paraíso;4102802;belavistense;FABRICIO PASTORE;242.689;14833;61.12;97.3;0.716;6.45;107287796.28;94399536.58;34014.05
Bituruna;4102901;biturenense;RODRIGO ROSSONI;1234.946;15533;12.58;98.2;0.667;11.76;170732792.54;121441585;33658.71
Boa Esperança;4103008;boaesperansense;JOEL CELSO BUSCARIOL;302.739;4558;15.06;99;0.72;47.62;55334271.81;45358447.41;71587.36
Boa Esperança do Iguaçu;4103024;boaesperencense;GIVANILDO TRUMI;151.797;2455;16.17;98.3;0.7;;39560681.89;37077907.86;58521.93
Boa Ventura de São Roque;4103040;boa venturense;EDSON FLÁVIO HOFFMANN;620.453;6378;10.28;97.5;0.655;14.71;72276502.66;59704617.43;56993.31
Boa Vista da Aparecida;4103057;boavistense;LEONIR ANTUNES DOS SANTOS;266.175;7924;29.77;99.2;0.67;;69015033.59;55446895.89;24632.62
Bocaiúva do Sul;4103107;bocaiuvense;ANTONIO LUIZ GUSSO;825.665;13299;16.11;95.1;0.64;23.67;66104755.25;62351244.33;21066.48
Bom Jesus do Sul;4103156;bonjesuense;HELIO JOSE SURDI;176.129;3980;22.6;99.4;0.697;97.56;43439792.02;32427213.03;33318.79
Bom Sucesso;4103206;bomsucessense;RAIMUNDO SEVERIANO DE ALMEIDA JUNIOR;322.755;6581;20.39;95.5;0.686;14.71;54036265.93;50544365.34;22143.17
Bom Sucesso do Sul;4103222;bomsucessense do sul;NILSON ANTONIO FEVERSANI;195.931;3202;16.34;98.3;0.742;25;47339237.11;36884047.54;92499.86
Borrazópolis;4103305;borrazopolitano;DALTON FERNANDES MOREIRA;334.378;7735;23.13;99;0.717;;50125118.8;49538094.99;39060.72
Braganey;4103354;braganense;ODAIR GUERREIRO OLIVEIRA;343.321;4854;14.14;98;0.701;;44478531.18;35867495.62;45249.28
Brasilândia do Sul;4103370;brasilandiense;ALEX ANTONIO CAVALCANTE;291.036;3708;12.74;97.8;0.681;23.26;44896009.2;36032895.6;109465.23
Cafeara;4103404;cafearense;ELTON FABIO LAZARETTI;185.8;2627;14.14;99.5;0.693;;35295969.05;31138479.1;38364.98
Cafelândia;4103453;cafelandense;CULESTINO KIARA;274.904;18997;69.1;98;0.748;11.45;153557010.27;131069967.8;103778.69
Cafezal do Sul;4103479;cafezalense;MARIO JUNIO KAZUO DA SILVA;335.392;4473;13.34;98.4;0.692;20;46802973.03;38483894.17;37483.08
Califórnia;4103503;californiano;PAULO WILSON MENDES;141.817;8710;61.42;97.2;0.722;10.2;50020795.13;37951783.55;29304.69
Cambará;4103602;cambaraense;JOSÉ SALIM HAGGI NETO;366.153;23212;63.39;97.3;0.721;4.24;136733523.33;117139154;32034.21
Cambé;4103701;cambeense;CONRADO ÂNGELO SCHELLER;495.375;107208;216.42;97.5;0.734;7.93;521656680.79;467021841.4;46520.49
Cambira;4103800;cambirense;EMERSON TOLEDO PIRES;164.786;9460;57.41;97.5;0.725;9.09;55553853.38;44122039.05;35173.74
Campina da Lagoa;4103909;campinensedalagoa;MILTON LUIZ ALVES;796.614;15723;19.74;97.3;0.704;14.56;96487130.54;79010296.34;41647.39
Campina do Simão;4103958;campineiro do simão;ANDRÉ JUNIOR DE PAULA;448.424;3936;8.78;98.4;0.63;14.29;54626976.84;39440041.6;39254.11
Campina Grande do Sul;4104006;campinensedosul;BIHL ELERIAN ZANETTI;539.245;47825;88.69;98;0.718;12.95;292971859.96;250224675.6;49376.42
Campo Bonito;4104055;campobonitense;MARIO WEBER;433.832;4027;9.28;97.4;0.681;;47412888.26;40498855.39;60821.41
Campo do Tenente;4104105;tenentiano;WEVERTON WILLIAN VIZENTIN;304.488;7508;24.66;98.7;0.686;;41469791.56;39700821.67;32185.94
Campo Largo;4104204;campolarguense;MAURÍCIO ROBERTO RIVABEM;1243.551;136327;109.63;97.7;0.745;8.35;681362213.46;638471265.7;42257.57
Campo Magro;4104253;campomagrense;CLAUDIO CESAR CASAGRANDE;275.352;30160;109.53;96.1;0.701;14.71;145918254.12;132409390;17964.99
Campo Mourão;4104303;mourãoense;TAUILLO TEZELLI;749.637;99432;132.64;98.2;0.757;10.08;662254919.75;654494624.3;53562.73
Cândido de Abreu;4104402;cândidoabreuense;RENAN MENCK ROMANICHEN;1510.16;15244;10.09;98.1;0.629;5.52;89140622.47;80201936.88;28869.34
Candói;4104428;candoianos;ALDOINO GOLDONI FILHO;1512.786;14973;9.9;93.8;0.635;15.38;122170161.84;101912613.2;52715.43
Cantagalo;4104451;cantagalense;JOÃO KONJUNSKI;583.304;10933;18.74;96;0.635;11.3;67033603.6;63685040.87;25184.85
