Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Angra dos Reis;3300100;angrense;FERNANDO ANTÔNIO CECILIANO JORDÃO;813.42;167434;205.84;96.4;0.724;14.05;2642047486.15;2105059175;53262.55
Aperibé;3300159;aperibeense;RONALD DE CÁSSIO DAIBES MOREIRA;94.542;11034;116.71;96.7;0.692;;105849117.44;107688028.7;20698.33
Araruama;3300209;araruamense;LIVIA SOARES BELLO DA SILVA;638.276;129671;203.16;98.3;0.718;12;1023913542.98;1110651415;31109.37
Areal;3300225;arealense;JOSÉ AUGUSTO BERNARDES LIMA;110.724;11828;106.82;98;0.684;13.42;154233467.49;149695956.2;33490.89
Armação dos Búzios;3300233;buziano;ALEXANDRE DE OLIVEIRA MARTINS;70.977;40006;563.65;97.6;0.728;6.18;564286088.41;695630675.4;84721.42
Arraial do Cabo;3300258;cabista;MARCELO MAGNO FELIX DOS SANTOS;152.106;30986;203.71;99.2;0.733;17.95;674868698.99;594709659.8;87763.22
Barra do Piraí;3300308;barrense;MARIO REIS ESTEVES;584.61;92883;158.88;98.7;0.733;11.38;357346815.02;437740598.6;26833.48
Barra Mansa;3300407;barramansense;RODRIGO DRABLE COSTA;547.133;169894;310.52;98.4;0.729;14.3;907755732.54;882140962.5;34816.53
Belford Roxo;3300456;belfordroxense;WAGNER DOS SANTOS CARNEIRO;78.985;483087;6116.19;96.2;0.684;15.2;1149927003.01;1302720147;17156.71
Bom Jardim;3300506;bomjardinense;PAULO VIEIRA DE BARROS;382.43;28102;73.48;97.4;0.66;3.32;165896135.34;169930325.6;31941.54
Bom Jesus do Itabapoana;3300605;bomjesuense;PAULO SERGIO TRAVASSOS DO CARMO CYRILLO;596.659;35173;58.95;98.1;0.732;11.98;239620161.13;228039748.1;24343.72
Cabo Frio;3300704;cabofriense;MAGDALA FURTADO;413.449;222161;537.34;96.9;0.735;10.47;1511318949.52;1491209025;52801.54
Cachoeiras de Macacu;3300803;cachoeirense;RAFAEL MUZZI DE MIRANDA;954.749;56943;59.64;98.4;0.7;11.48;438779551.78;471608192;21885.51
Cambuci;3300902;cambuciense;MAXWELL VIEIGA GUIMARAES;558.281;14616;26.18;98.8;0.691;14.29;123807481.98;107380308.3;25807.81
Carapebus;3300936;carapebuense;CHRISTIANE MIRANDA DE ANDRADE CORDEIRO;304.885;13847;45.42;98.7;0.713;15.38;209475363.57;168216181.1;43108.68
Comendador Levy Gasparian;3300951;gaspariense;CLAUDIO MANNARINO;108.639;8741;80.46;99.4;0.685;10.31;95126034.5;101374419;70311.39
Campos dos Goytacazes;3301009;campista;WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA;4032.487;483540;119.91;97.3;0.716;19.02;2984807494.62;3329065053;72243.98
Cantagalo;3301108;cantagalense;JOAQUIM AUGUSTO CARVALHO DE PAULA;747.21;19390;25.95;95.4;0.709;5.75;167688796.46;164059565.3;41730.95
Cardoso Moreira;3301157;cardosense;GEANE CORDEIRO VINCLER;522.596;12958;24.8;98.6;0.648;14.71;86234114.48;130644694.8;30853.68
Carmo;3301207;carmense;SÉRGIO LUIZ PERES SOARES;305.749;17198;56.25;98.6;0.696;6.41;102677971.38;95446626.26;29286.22
