Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Alta Floresta D'Oeste;1100015;altaflorense;GIOVAN DAMO;7067.127;21494;3.04;95.7;0.641;5.43;34488924.21;39038205.02;32619.88
Ariquemes;1100023;ariquemense;CARLA GONÇALVES REZENDE;4426.571;96833;21.88;97.2;0.702;21.26;539844222.53;488450608.4;28878.27
Cabixi;1100031;cabixiense;IZAEL DIAS MOREIRA;1314.352;5351;4.07;98.1;0.65;;48454961.46;40343087.11;47051.83
Cacoal;1100049;cacoalense;ADAILTON ANTUNES FERREIRA;3793;86887;22.91;97.6;0.718;9.61;400470224.6;390313644.7;32313.26
Cerejeiras;1100056;cerejeirense;LISETE MARTH;2783.3;15890;5.71;98.5;0.692;3.68;119336366.65;97280359.62;46185.81
Colorado do Oeste;1100064;coloradense;JOSE RIBAMAR DE OLIVEIRA;1451.06;15663;10.79;97.6;0.685;19.51;103636927.25;98406145.24;27923.92
Corumbiara;1100072;corumbiarense;LEANDRO TEIXEIRA VIEIRA;3060.321;7519;2.46;97.1;0.613;29.13;76541292.6;74822724.5;56257.46
Costa Marques;1100080;costamarquense;VAGNER MIRANDA DA SILVA;4987.177;12627;2.53;97.6;0.611;13.76;81601676.21;67749761.31;16446.15
Espigão D'Oeste;1100098;espigãoense;WELITON PEREIRA CAMPOS;4518.038;29414;6.51;95.9;0.672;10.82;146477583.28;139994168.6;23429.38
GuajaráMirim;1100106;guajarámirense;RAISSA DA SILVA PAES;24856.877;39387;1.58;93.1;0.657;16.04;180392533.24;162810568.9;22462.79
Jaru;1100114;jaruense;JOÃO GONÇALVES SILVA JÚNIOR;2944.128;50591;17.18;97.8;0.689;13.48;271817817.2;223657207.2;34294.21
JiParaná;1100122;jiparanaense;ISAÚ RAIMUNDO DA FONSECA;6896.649;124333;18.03;96.6;0.714;10.45;571278191.28;544175882;32292.16
Machadinho D'Oeste;1100130;machadinhense;PAULO HENRIQUE DOS SANTOS;8509.27;30707;3.61;93.2;0.596;24.1;180971837.45;186811878.5;21338.33
Nova Brasilândia D'Oeste;1100148;brasilandense;HELIO DA SILVA;1703.008;15679;9.21;97.5;0.643;16.95;114036465.41;96048309.94;26762.31
Ouro Preto do Oeste;1100155;ouropretense;JUAN ALEX TESTONI;1969.85;35044;17.79;96.1;0.682;1.88;206371966.44;172165196.7;27814.02
Pimenta Bueno;1100189;pimentabuenense;ARISMAR ARAUJO DE LIMA;6241.016;35079;5.62;97.7;0.71;18.74;208000613.4;195946603.8;44275.07
Porto Velho;1100205;portovelhense;HILDON DE LIMA CHAVES;34090.952;460434;13.51;94.5;0.736;13.33;2466501221.83;2517759370;36541.49
Presidente Médici;1100254;mediciense;EDILSON FERREIRA DE ALENCAR;1758.465;19327;10.99;96.9;0.664;10.2;105025151.75;93052142.24;30827.94
Rio Crespo;1100262;riocrespense;EVANDRO EPIFANIO DE FARIA;1717.64;3471;2.02;97.8;0.643;28.57;44146064.4;46767807.78;47991.2
Rolim de Moura;1100288;rolimorense;ALDAIR JULIO PEREIRA;1457.811;56406;38.69;97.9;0.7;9.58;266571660.71;250327870.6;28076.24
Santa Luzia D'Oeste;1100296;santaluziense;JURANDIR DE OLIVEIRA ARAUJO;1197.796;7419;6.19;93.9;0.67;13.7;65635483.27;56807461.09;35940.09
Vilhena;1100304;vilhenense;EDUARDO TOSHIYA TSURU;11699.15;95832;8.19;97.8;0.731;13.75;592981688.59;519405255.8;40328.81
