Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Amajari;1400027;amajariense;NUBIA COSTA LIMA;28473.45;13927;0.49;64.3;0.484;44.08;54216985.06;54235772.36;17758.73
Alto Alegre;1400050;altoalegrense;PEDRO HENRIQUE WANDERLEY MACHADO;25454.297;21096;0.83;56;0.542;55.48;111846968.01;73160722.57;25280.78
Boa Vista;1400100;boavistense;ARTHUR HENRIQUE BRANDÃO MACHADO;5687.037;413486;72.71;96.6;0.752;13.9;2451931489.81;2000965222;30906.19
Bonfim;1400159;bonfinense;JONER CHAGAS;8079.914;13923;1.72;91.9;0.626;11.63;139925364.46;133864598.4;41131.03
Cantá;1400175;cantaense;ANDRÉ LUIS COSTA DE CASTRO;7664.831;18682;2.44;96.2;0.619;15.27;97704969.61;106190432.6;18334.7
Caracaraí;1400209;caracaraiense;DIANIERY DE SOUZA COELHO;47379.903;20957;0.44;91.7;0.624;24.1;112744880.29;116062972.3;20026.4
Caroebe;1400233;caroebense;OSMAR SERRA BONFIM FILHO;12065.896;10656;0.88;97.1;0.639;5.52;72091968.64;72330684.84;22349.01
Iracema;1400282;iracemense;JAIRO ANDRE RIBEIRO SOUSA;14011.695;10023;0.72;76.7;0.582;6.94;122796132.17;102950337.8;16497.32
Mucajaí;1400308;mucajaiense;ERONILDES APARECIDA GONÇALVES;12337.851;18095;1.47;92.6;0.665;24.77;126833752.73;126718902.9;21310.03
Normandia;1400407;normandiense;WENSTON PAULINO BERTO RAPOSO;6959.868;13986;2.01;87.3;0.594;13.48;84789393.27;84387395.68;17232.37
Pacaraima;1400456;pacaraimense;JULIANO TORQUATO DOS SANTOS;8025.045;19305;2.41;93;0.65;34.93;99967417.01;94740911.26;16366.22
Rorainópolis;1400472;rorainopolitano;LEANDRO PEREIRA DA SILVA;33579.739;32647;0.97;95.5;0.619;10.53;137553958.05;169318976.1;23333.09
São João da Baliza;1400506;baliziense;LUIZA MAURA DE FARIA OLIVEIRA;4284.505;8858;2.07;93.6;0.655;17.24;74838929.86;67377771.74;38597.28
São Luiz;1400605;sãoluizense;JAMES MOREIRA BATISTA;1526.898;7315;4.79;92;0.649;32;118249430.5;91309762.67;21740.96
Uiramutã;1400704;uiramutansense;BENISIO ROBERTO DE SOUZA;8113.598;13751;1.69;60.2;0.453;25.29;70323587.25;61893388.88;13069.3
