Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Aceguá;4300034;aceguaense;MARCUS VINÍCIUS GODOY DE AGUIAR;1551.339;4170;2.69;93.9;0.687;;57543013.61;51950521.35;91994.39
Água Santa;4300059;águasantense;EDUARDO PICOLOTTO;291.503;3912;13.42;98.5;0.75;;48003459.76;38818228.7;146445.07
Agudo;4300109;agudense;LUIS HENRIQUE KITTEL;534.624;16041;30;96.5;0.694;27.03;106678562.78;100404279.4;40863.53
Ajuricaba;4300208;ajuricabense;IVAN CHAGAS;322.674;6720;20.83;98.5;0.753;17.24;53776613.08;50769209.93;74961.71
Alecrim;4300307;alecrinense;ELMO ANASTACIO DULLIUS;316.394;6123;19.35;97.1;0.672;;36298981.2;37054319.71;28383.93
Alegrete;4300406;alegretense;MÁRCIO FONSECA DO AMARAL;7800.428;72409;9.28;98.9;0.74;12.08;337040274.7;337982305.5;42485.08
Alegria;4300455;alegriense;TERESINHA MARCZEWSKI ZAVASKI;172.794;3651;21.13;98.9;0.695;;37963066.51;32676240.31;47648.88
Almirante Tamandaré do Sul;4300471;tamandarense;ADIR GIACOMINI;265.042;1969;7.43;100;0.74;;35073282.74;27827990.82;142847.94
Alpestre;4300505;alpestrense;VALDIR JOSÉ ZASSO;325.979;7117;21.83;98.1;0.671;16.95;83749721.15;66585458;33369.8
Alto Alegre;4300554;altoalegrense;AVELINO SALVADORI;115.335;1800;15.61;98.1;0.747;;32611029.17;30510909.2;66755.15
Alto Feliz;4300570;altofelizense;ROBES SCHNEIDER;78.175;3072;39.3;98.1;0.734;;41964979.28;39055464.55;53088.35
Alvorada;4300604;alvoradense;JOSE ARNO APPOLO DO AMARAL;71.7;187315;2612.48;95.3;0.699;15.21;739599914.39;584866277.5;15550.82
Amaral Ferrador;4300638;amaralense;NATANIEL SATIRO DO VAL CANDIA;505.983;5310;10.49;98.3;0.624;;34795858.9;30149100.36;20688.31
Ametista do Sul;4300646;ametistense;JADIR JOSÉ KOVALESKI;93.704;7650;81.64;100;0.682;;54179815.36;42360620.15;24036.02
André da Rocha;4300661;andrérochense;SERGIO CARLOS MORETTI;331.208;1135;3.43;100;0.72;;27508051.52;24572244.7;142922.95
Anta Gorda;4300703;antagordense;FRANCISCO DAVID FRIGHETTO;242.1;5957;24.61;97.8;0.74;;51566094.13;41097240.26;54248.7
Antônio Prado;4300802;pradense;ROBERTO JOSÉ DALLE MOLLE;347.541;13045;37.54;98.6;0.758;;98287906.21;88539091.54;61154.04
Arambaré;4300851;arambarense;JARDEL MAGALHÃES CARDOSO;518.193;4112;7.94;97.2;0.691;;42964673.19;35281330.87;80442.31
Araricá;4300877;arariquense;FLAVIO LUIZ FOSS;35.391;8525;240.88;97.3;0.679;23.26;61910048.9;55358747.02;40484.64
Aratiba;4300901;aratibense;GILBERTO LUIZ HENDGES;342.279;6483;18.94;98.8;0.772;;108119908.6;96324730.59;154104.03
Arroio do Meio;4301008;arroiomeense;DANILO JOSÉ BRUXEL;157.088;21958;139.78;99.8;0.769;15.21;159008412.98;143448068.8;72750.17
Arroio do Sal;4301057;arroiossalense;AFFONSO FLÁVIO ANGST;119.16;11057;92.79;98.6;0.74;8;117412705.66;97802615.31;27241.9
Arroio do Padre;4301073;arroiopadrense;RUI CARLOS PETER;124.693;2599;20.84;97.3;0.669;;29274151.41;25859484.24;25887.92
Arroio dos Ratos;4301107;ratense;JOSÉ CARLOS GARCIA DE AZEREDO;425.791;14601;34.29;97.6;0.698;7.87;79964673.77;84487260.69;25163.34
Arroio do Tigre;4301206;arroiotigrense;MARCIANO RAVANELLO;315.132;12058;38.26;98.2;0.707;;64816169.46;54118092.11;31911.3
Arroio Grande;4301305;arroiograndense;IVAN ANTONIO GUEVARA LOPEZ;2508.557;17558;7;98.7;0.657;19.9;115642864.41;103919810.7;62222.04
Arvorezinha;4301404;arvorezinhense;JAIME TALIETTI BORSATTO;269.31;10322;38.33;97.2;0.694;40.4;68910573.25;60575494.27;32263.13
Augusto Pestana;4301503;augustopestanense;DARCI SALLET;348.231;7149;20.53;99.7;0.743;11.9;53018544.89;46536831.62;77033.28
Áurea;4301552;aureense;ANTONIO JORGE SLUSSAREK;156.727;3396;21.67;99.1;0.707;;34918859.89;32109457.27;46470.87
Bagé;4301602;bageense;DIVALDO VIEIRA LARA;4090.36;117938;28.83;97.6;0.74;18.8;568185483.02;646282087.5;30846.53
Balneário Pinhal;4301636;balneáriopinhalense;MARCIA ROSANE TEDESCO DE OLIVEIRA;102.387;14955;146.06;97.9;0.696;20.98;110787288.53;83979886.01;21310.39
