Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Abdon Batista;4200051;abdonense;JADIR LUIZ DE SOUZA;237.517;2598;10.94;100;0.694;;37360629.58;33455634.15;29646.51
Abelardo Luz;4200101;abelardense;NERCI SANTIN;953.992;17392;18.23;97.1;0.696;15.38;126960250.1;114596565.8;43621.44
Agrolândia;4200200;agrolandense;JOSÉ CONSTANTE;206.815;10990;53.14;97;0.725;6.99;75407455.69;65713134.58;35492.31
Agronômica;4200309;agronomense;CESAR LUIZ CUNHA;129.774;6055;46.66;94.4;0.741;;40712941.73;36789927.59;41807.92
Água Doce;4200408;águadocense;NELCI FÁTIMA TRENTO BORTOLINI;1319.137;6508;4.93;97.9;0.698;11.63;78707884.67;68519678.72;90930.69
Águas de Chapecó;4200507;aguense;LEONIR ANTÔNIO HENTGES;139.511;6036;43.27;99.3;0.713;;43518693.63;39012794.81;21040.34
Águas Frias;4200556;águasfriense;LUIZ JOSÉ DAGA;76.631;2839;37.05;100;0.745;;34586347.27;31272965.1;69655.52
Águas Mornas;4200606;águasmornense;OMERO PRIM;326.66;6743;20.64;98.7;0.723;24.39;48790610.58;44444660;30026.7
Alfredo Wagner;4200705;alfredense;GILMAR SANI;733.489;10481;14.29;92.8;0.668;;252430855.26;232270080.8;33191.8
Alto Bela Vista;4200754;belavistense;ELTON MATTES;103.433;1856;17.94;98.7;0.755;;36837298.3;26883204.42;41248.18
Anchieta;4200804;anchietense;IVAN JOSÉ CANCI;232.348;5943;25.58;99.8;0.699;;43389354.52;38992786.85;37207.3
Angelina;4200903;angelinense;ROSELI ANDERLE;499.998;5358;10.72;99.3;0.687;;42220708.61;36484735.02;37247.98
Anita Garibaldi;4201000;anitagaribaldense;JOÃO CIDINEI DA SILVA;589.812;8285;14.05;96.1;0.688;29.41;57012868.17;49405142.83;34127.28
Anitápolis;4201109;anitapolitano;SOLANGE BACK;540.636;3593;6.65;98.5;0.674;;34531643.69;29295976.23;26235.15
Antônio Carlos;4201208;antôniocarlense;GERALDO PAULI;234.422;11224;47.88;96.5;0.749;;87846722.58;72863267.52;91422.34
Apiúna;4201257;apiunense;MARCELO DOUTEL DA SILVA;493.49;9811;19.88;97.8;0.708;14.39;77950766.3;70543905.63;40398.52
Arabutã;4201273;arabutanense;LEANI KAPP SCHMITT;132.779;4378;32.97;99.6;0.733;;49312095.06;44938547.02;66635.06
Araquari;4201307;araquariense;CLENILTON CARLOS PEREIRA;386.693;45283;117.1;96;0.703;6.58;404850702.12;348658109.2;183116.55
Araranguá;4201406;araranguaense;CÉSAR ANTONIO CESA;301.819;71922;238.3;98.4;0.76;16.11;316951555.33;281411834.8;34317.67
Armazém;4201505;armazenense;LUIZ PAULO RODRIGUES MENDES;173.958;8834;50.78;98.4;0.77;;59585173.45;47729352.8;30763.41
Arroio Trinta;4201604;arroiotrintense;ALCIDIR FELCHILCHER;93.53;3556;38.02;99.3;0.764;;46675753.3;37187083.45;35505.67
Arvoredo;4201653;arvoredense;NEURI MENEGUZZI;90.503;2510;27.73;97.6;0.715;33.33;37123845.14;30134505.43;91500.25
