Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Amparo do São Francisco;2800100;amparense;FRANKLIN RAMIRES FREIRE CARDOSO;35.683;2170;60.81;97.4;0.611;;28461504.91;26953271.4;15912.33
Aquidabã;2800209;aquidabãense;FRANCISCO FRANCIMÁRIO RODRIGUES DE LUCENA;359.543;20131;55.99;98.6;0.578;12.82;93794800.02;81916389.19;13207.67
Aracaju;2800308;aracajuano;EDVALDO NOGUEIRA FILHO;182.163;602757;3308.89;97.4;0.77;16.81;3049480298.97;3310705182;27364.4
Arauá;2800407;arauaense;FABIO MANOEL ANDRADE COSTA;198.967;10318;51.86;98.3;0.595;8;62034031.37;56094171.16;14240.03
Areia Branca;2800506;areiabranquense;ALAN ANDRELINO NUNES SANTOS;148.134;18081;122.06;98;0.579;31.25;98314475.71;91395566.57;13400.43
Barra dos Coqueiros;2800605;barracoqueirense;ALBERTO JORGE SANTOS MACEDO;92.268;41511;449.9;91.7;0.649;19.86;257415794.39;234708506;82114.31
Boquim;2800670;boquinense;ERALDO DE ANDRADE SANTOS;205.443;24636;119.92;97.6;0.604;7.52;92291668.63;89473479.99;12345.44
Brejo Grande;2800704;brejograndense;CLYSMER FERREIRA BASTOS;141.464;7841;55.43;98.5;0.54;25.86;51412735.71;57540923.61;11420.45
Campo do Brito;2801009;campobritense;MARCELL MOADE RIBEIRO SOUZA;201.518;18149;90.06;98.2;0.621;13.95;76686863.32;74660194.39;12970.1
Canhoba;2801108;canhobense;CHRYSTOPHE FERREIRA DIVINO;171.581;3791;22.09;98.1;0.569;;32735965.95;29827531.11;21093.28
Canindé de São Francisco;2801207;canindense;WELDO MARIANO DE SOUZA;934.167;26834;28.73;96.8;0.567;17.65;238714608.72;207767095.7;93714.69
Capela;2801306;capelense;SILVANY YANINA MAMLAK;442.211;31645;71.56;96.3;0.615;27.31;188919007.76;182906458;11069.02
