Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Adamantina;3500105;adamantinense;MARCIO CARDIM;411.987;34687;84.19;97.6;0.79;10.5;286080113.63;274074871.2;38997.12
Adolfo;3500204;adolfino;IZAEL ANTONIO FERNANDES;211.055;4351;20.62;98.6;0.73;;46693392.52;41404998.46;32578.28
Aguaí;3500303;aguaiano;JOSÉ ALEXANDRE PEREIRA DE ARAÚJO;474.554;32072;67.58;95.8;0.715;8.11;171102182.66;161253061.8;35551.7
Águas da Prata;3500402;pratense;REGINA HELENA JANIZELO MORAES;142.673;7369;51.65;98.8;0.781;14.49;52442167.71;50467736.77;25297.02
Águas de Lindóia;3500501;lindoiense;GILBERTO ABDOU HELOU;60.126;17930;298.21;96.2;0.745;4.69;147244937.01;144977225.8;30971.23
Águas de Santa Bárbara;3500550;santabarbarense;AROLDO JOSE CAETANO;404.463;7177;17.74;98.2;0.757;;63890742.73;60798714.74;35378.64
Águas de São Pedro;3500600;águapedrense;JOÃO VICTOR BARBOZA;3.612;2780;769.66;98.4;0.854;;55032678.85;48768862.63;41208.23
Agudos;3500709;agudense;FERNANDO OCTAVIANI;966.708;37680;38.98;97.9;0.745;6.26;235647258.59;215917044.8;70209.74
Alambari;3500758;alambariense;JOÃO PAULO DANTAS PINTO;159.6;6141;38.48;99.3;0.712;;42092575.62;40574557.43;20765.46
Alfredo Marcondes;3500808;marcondense;CELSO PIRANI PASSOS;118.915;4445;37.38;98.6;0.741;;36036979.4;30826665.26;28649.11
Altair;3500907;altairense;MARCO ANTONIO FERREIRA;313.007;3451;11.03;96;0.687;25;38144937.48;34653445.74;26662.17
Altinópolis;3501004;altinopolense;JOSÉ ROBERTO FERRACIN MARQUES;928.956;16818;18.1;99.3;0.73;5.49;108861525.74;104303207.5;51377.61
Alto Alegre;3501103;altoalegrense;CARLOS SUSSUMI IVAMA;318.574;3841;12.06;95.1;0.7;68.97;41467364.95;38291266.07;27853.08
Alumínio;3501152;aluminense;ANTONIO PIASSENTINI;83.619;17301;206.9;98.8;0.766;10.99;165607002.73;160540506.1;210670.96
Álvares Florence;3501202;alvares florencense;ADILSON BATISTA LEITE;362.411;3915;10.8;99.3;0.728;;38507057.27;34739096.72;34389.1
Álvares Machado;3501301;machadense;ROGER FERNANDES GASQUES;347.647;27255;78.4;98.3;0.758;12.08;121660915.06;112684450.9;28306.72
Álvaro de Carvalho;3501400;carvalhense;ADILSON DE OLIVEIRA LOPES;153.662;4808;31.29;99.2;0.688;;30127725.32;29375137.28;11012.49
Alvinlândia;3501509;alvinlandense;ABIGAIL CATELI DIAS;84.879;2885;33.99;99.3;0.722;;29793502.93;25805885.28;17965.24
Americana;3501608;americanense;FRANCISCO ANTONIO SARDELLI;133.912;237240;1771.61;98;0.811;9.41;1310295459.85;1299555473;62271.47
Américo Brasiliense;3501707;américobrasiliense;DIRCEU BRAS PANO;122.958;33019;268.54;98.6;0.751;14.2;176163207.94;177341484.1;29617.13
Américo de Campos;3501806;americampense;CARLOS ROBERTO ACHILLES;252.876;5870;23.21;98.2;0.745;;44216495.23;41428514.22;21158.4
Amparo;3501905;amparense;CARLOS ALBERTO MARTINS;445.323;68008;152.72;95.7;0.785;9.83;487747723.05;477933742.4;70437.56
Analândia;3502002;analandense;PAULO HENRIQUE FRANCESCHINI;325.953;4589;14.08;99.7;0.754;18.87;53032684.32;51786190.31;40726.1
Andradina;3502101;andradinense;MARIO CELSO LOPES;964.226;59783;62;98.2;0.779;8.59;289283614.41;278663210.4;49703.65
Angatuba;3502200;angatubense;NICOLAS BASILE ROCHEL;1027.288;24022;23.38;98.3;0.719;9.35;155271492.32;162126152.7;57306.48
Anhembi;3502309;anhembiense;LINDEVAL AUGUSTO MOTA;736.557;5674;7.7;97.2;0.721;30.3;55836417.23;55483602.5;24534.54
Anhumas;3502408;anhumense;ADAILTON CESAR MENOSSI;320.84;4023;12.54;98.3;0.741;20;40830605.04;37562789.05;25316.58
Aparecida;3502507;aparecidense;LUIZ CARLOS DE SIQUEIRA;120.89;32569;269.41;98.4;0.755;12.23;204394077.66;213536197.2;28750.03
Aparecida d'Oeste;3502606;aparecidense;IZAIAS APARECIDO SANCHEZ;179.004;4086;22.83;97.7;0.721;;37925299.92;38866903.62;36763.62
Apiaí;3502705;apiaiense;SÉRGIO VICTOR BORGES BARBOSA;974.322;24585;25.23;97.3;0.71;;131510593.29;121039914.4;37278.88
Araçariguama;3502754;araçariguamense;RODRIGO DE ANDRADE;145.204;21522;148.22;98.2;0.704;14.2;221444693.06;236492356.3;206250.44
Araçatuba;3502804;araçatubense;DILADOR BORGES DAMASCENO;1167.126;200124;171.47;97.6;0.788;13.91;979569762.43;859862855.6;45268.6
Araçoiaba da Serra;3502903;araçoiabano;JOSE CARLOS DE QUEVEDO JUNIOR;255.305;32443;127.08;99.4;0.776;;204561588.95;219710112;34075.1
Aramina;3503000;araminense;MARIA MADALENA DA SILVA;202.829;5420;26.72;98.7;0.74;33.33;40486505.88;41531394.88;26415.31
Arandu;3503109;aranduense;FLAVIO CARLOMAGNO GALHEGO;285.908;6885;24.08;98.4;0.685;25.97;53197142.55;58076898.12;30569.27
Arapeí;3503158;arapeiense;RENÊ LÚCIO GONÇALVES;156.903;2330;14.85;98.7;0.68;;37002710.98;39819289.79;18584.03
Araraquara;3503208;araraquarense;EDSON ANTÔNIO EDINHO DA SILVA;1003.625;242228;241.35;98.7;0.815;6.4;1536427548.64;1521074816;49692.93
Araras;3503307;ararense;PEDRO ELISEU FILHO;644.831;130866;202.95;97.5;0.781;9.76;855202935.89;892353253.2;50772.4
ArcoÍris;3503356;arcoirense;ALDO MANSANO FERNANDES;264.904;2044;7.72;99.1;0.722;;30366963.62;25803609.09;35382.28
Arealva;3503406;arealvense;ELSON BANUTH BARRETO;506.226;8130;16.06;99.6;0.744;20.62;54103645.98;51714562.8;26206.9
Areias;3503505;areiense;PAULO HENRIQUE DE SOUZA COUTINHO;305.227;3577;11.72;96.8;0.697;;48672873.97;51528796.21;14877.99
Areiópolis;3503604;areiopolitano;ANTONIO MARCOS DOS SANTOS;85.907;10130;117.92;97.3;0.695;16.67;58475463.02;50713329.42;14577.19
Ariranha;3503703;ariranhense;JOAMIR ROBERTO BARBOZA;132.624;7602;57.32;99.6;0.733;;69870850.02;63362117.67;115410.74
Artur Nogueira;3503802;nogueirense;LUCAS SIA RISSATO;178.026;51456;289.04;98.3;0.749;3.27;273541873.55;287794746.1;30610.29
Arujá;3503901;arujaense _ arujano;LUIS ANTONIO DE CAMARGO;96.167;86678;901.33;98.2;0.784;6.06;575898129.67;585147148.9;89703.63
Aspásia;3503950;aspasiense;IVAN DE PAULA;69.373;1842;26.55;97.1;0.735;;27343253.6;21880153.12;21788.35
Assis;3504008;assisense;JOSÉ APARECIDO FERNANDES;460.609;101409;220.16;98.9;0.805;12.46;555176557.99;564584304.8;38598.78
Atibaia;3504107;atibaiano;EMIL ONO;478.521;158647;331.54;97.3;0.765;8.03;1142297729.42;1121394897;57512.36
Auriflama;3504206;auriflamense;KATIA CONCEIÇÃO MORITA DE CARVALHO;434.498;13692;31.51;98.8;0.773;13.99;82442704.54;71596024.23;23409.76
Avaí;3504305;avaiense;HELLEN FERNANDES RODRIGUES COELHO;540.689;4483;8.29;99.4;0.714;40.54;44804157.35;45359812.12;68793.46
Avanhandava;3504404;avanhandavense;CIRO AUGUSTO MOURA VENERONI;338.37;11263;33.29;97.2;0.705;8.62;72988974.26;70466171.25;14178.27
Avaré;3504503;avareense;JOSELYR BENEDITO COSTA SILVESTRE;1213.055;92805;76.51;97.9;0.767;17.48;482858670.24;483852554.9;35721.22
Bady Bassitt;3504602;badiense;LUIZ ANTONIO TOBARDINI;110.372;27260;246.98;98.5;0.746;8.88;141577918.4;154097398.2;30636.12
Balbinos;3504701;balbinense;BENEDITO JACKSON BALANCIERI;91.635;3887;42.42;98.9;0.669;;26368867.21;23014159.68;10674.14
Bálsamo;3504800;balsamense;CARLOS EDUARDO CARMONA LOURENÇO;149.881;9596;64.02;99;0.756;;56998822.71;54995429.27;30257.55
Bananal;3504909;bananalense;WILLIAM LANDIM DA SILVA;616.429;9969;16.17;97.1;0.733;;68894590.63;67036850.34;19568.66
Barão de Antonina;3505005;barãoense;RODRIGO WALDEMAR MARQUES;153.142;3531;23.06;100;0.711;;34552852.07;28879114.24;21264.23
Barbosa;3505104;barbosano;RODRIGO PRIMO ANTUNES;205.212;5640;27.48;98.4;0.699;25.97;45266244.09;43106693.17;14488.16
Bariri;3505203;baririense;ABELARDO MAURICIO MARTINS SIMOES FILHO;444.405;31595;71.1;96.3;0.75;11.73;173279240.85;173029939.5;45290.86
Barra Bonita;3505302;barrabonitense;JOSE LUIS RICI;150.121;34346;228.79;99.8;0.788;16.39;215057439.13;213070578.5;41955.79
Barra do Chapéu;3505351;barrense;IVANIL NORBERTO PEREIRA NOLASCO;405.681;5179;12.77;96.9;0.66;11.49;42610971.46;40025899.1;23082.16
Barra do Turvo;3505401;barraturvense;JEFFERSON LUIZ MARTINS;1007.684;6876;6.82;95.6;0.641;17.54;60345082.74;56221789.71;16542.32
Barretos;3505500;barretense;PAULA OLIVEIRA LEMOS;1566.161;122485;78.21;97.8;0.789;12.93;979994224.94;1086979265;47783.95
Barrinha;3505609;barrinhense;JOSE MARCOS MARTINS;146.025;32092;219.77;97.5;0.725;7.92;149991558.27;146377793;18630.66
Barueri;3505708;barueriense;RUBENS FURLAN;65.701;316473;4816.87;97.8;0.786;7.45;4950967905.41;4703546013;207460.98
Bastos;3505807;bastense;MANOEL IRONIDES ROSA;170.912;21503;125.81;98.5;0.751;7.52;128154189.95;117874133.3;50936.28
Batatais;3505906;batataense;LUIS FERNANDO BENEDINI GASPAR JUNIOR;849.526;58402;68.75;97.7;0.761;16.1;317917378.44;314669142.1;38097.08
Bauru;3506003;bauruense;SUELLEN SILVA ROSIM;667.684;379146;567.85;96.9;0.801;9.97;1807245548.35;1986946253;43806.93
Bebedouro;3506102;bebedourense;LUCAS GIBIN SEREN;683.192;76373;111.79;98.5;0.78;11.46;456948769.84;477287928.3;52575.43
Bento de Abreu;3506201;bentoabreuense;JOSÉ LUIZ MAREGA;301.687;2606;8.64;97.9;0.744;;37969973.56;32645887.89;69504.55
Bernardino de Campos;3506300;bernardinense;WILSON JOSE GARCIA;244.158;11607;47.54;98.3;0.734;;68194050.75;63179998.07;33842.25
Bertioga;3506359;bertioguense;CAIO ARIAS MATHEUS;491.546;64188;130.58;98.1;0.73;16.77;1001472338.04;954137770.8;31255.51
