Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Abreulândia;1700251;abreulandense;MANOEL FRANCISCO DE MOURA;1906.295;2576;1.35;95.7;0.665;29.41;31931931.79;27128380.07;42979.98
Aguiarnópolis;1700301;aguiarnopolense;WANDERLY DOS SANTOS LEITE;236.792;4497;18.99;96.9;0.657;;38772658.72;34146021.53;23475.65
Aliança do Tocantins;1700350;aliancense;ELVES MOREIRA GUIMARÃES;1580.999;5147;3.26;96.2;0.663;35.09;33324344.39;35222983.24;116268.4
Almas;1700400;almense;WAGNER NEPOMUCENO CARVALHO;4007.152;6499;1.62;94.4;0.636;;46516334.97;41188640.69;39643.82
Alvorada;1700707;alvoradense;PAULO ANTONIO DE LIMA SEGUNDO;1207.201;8802;7.29;99;0.708;16.67;55912639.07;66339104.3;56569.78
Ananás;1701002;ananaense;VALDEMAR BATISTA NEPOMOCENO;1581.058;10325;6.53;98.7;0.671;;51835611.33;51319819.26;16933.69
Angico;1701051;angicoense;CLEOFAN BARBOSA LIMA;447.549;2876;6.43;99.5;0.648;24.39;26919155.31;23261147.74;13892.42
Aparecida do Rio Negro;1701101;aparecidense;SUZANO LINO MARQUES;1159.034;4856;4.19;97.6;0.651;;36638938;34694259.05;52216.34
Aragominas;1701309;aragominense;FRANCISCO RODRIGUES;1168.213;5290;4.53;97.2;0.593;14.49;27942945.08;27398232.53;17255.24
Araguacema;1701903;araguacemense;MARCUS VINICIUS MORAES MARTINS;2774.505;5927;2.14;98.3;0.639;28.17;47490091.52;42705502.52;33261.2
Araguaçu;1702000;araguaçuense;JARBAS RIBEIRO IVO;5155.223;8133;1.58;97;0.675;;48660771.2;44642541.48;41464.68
Araguaína;1702109;araguainense;WAGNER RODRIGUES BARROS;4004.646;171301;42.78;97.5;0.752;9.46;975737691.55;912897428.5;28129.89
Araguanã;1702158;araguanaense;MAX NYLTON BARBOSA DA SILVA;834.834;4310;5.16;96.9;0.604;66.67;35004185.85;31307364.96;17393.75
Araguatins;1702208;araguatinense;AQUILES PEREIRA DE SOUSA;2633.278;31918;12.12;95.5;0.631;16.91;136215765.97;127751555.2;14472.16
Arapoema;1702307;arapoemense;PAULO ANTONIO PEDREIRA;1558.138;5550;3.56;96.9;0.68;;40097545.17;37263849.57;49244.74
Arraias;1702406;arraiano;HERMAN GOMES DE ALMEIDA;5803.085;10287;1.77;97.6;0.651;9.52;53922790.63;47197474.59;21263.55
Augustinópolis;1702554;augustinopolino;ANTÔNIO CAIRES DE ALMEIDA;388.81;17484;44.97;97.1;0.67;6.83;76259047.06;66972001.4;16169.5
